"","Texas","TX","0","1",""
"2","Compare Experiences of Characters Across Cultures","2E.1.9.2","2E.1.9","6","TX English Language Arts"
"2","Writing","2E.2","2E","4","TX English Language Arts"
"2","Writes For a Variety of Audiences and Purposes","2E.2.1","2E.2","5","TX English Language Arts"
"2","Write to Record Ideas and Reflections","2E.2.1.1","2E.2.1","6","TX English Language Arts"
"2","Write to Discover, Develop, and Refine Ideas","2E.2.1.2","2E.2.1","6","TX English Language Arts"
"2","Write to Communicate","2E.2.1.3","2E.2.1","6","TX English Language Arts"
"2","Write in Different Forms","2E.2.1.4","2E.2.1","6","TX English Language Arts"
"2","Composes Original Texts","2E.2.2","2E.2","5","TX English Language Arts"
"2","Aspects of Penmanship","2E.2.2.1","2E.2.2","6","TX English Language Arts"
"2","Use Word and Letter Spacing and Margins","2E.2.2.2","2E.2.2","6","TX English Language Arts"
"2","Use Basic Capitalizations and Punctuation","2E.2.2.3","2E.2.2","6","TX English Language Arts"
"2","More Complex Capitalization and Punctuation","2E.2.2.4","2E.2.2","6","TX English Language Arts"
"2","Spells Proficiently","2E.2.3","2E.2","5","TX English Language Arts"
"2","Use Resources to Find Correct Spellings","2E.2.3.1","2E.2.3","6","TX English Language Arts"
"2","More Proficient Spell. of Regular Spelled Patterns","2E.2.3.2","2E.2.3","6","TX English Language Arts"
"2","More Proficient Spelling of Inflectional Endings","2E.2.3.3","2E.2.3","6","TX English Language Arts"
"2","More Proficient Use of Orthographic Patterns","2E.2.3.4","2E.2.3","6","TX English Language Arts"
"2","Composes Meaningful Texts","2E.2.4","2E.2","5","TX English Language Arts"
"2","Use Singular and Plural Forms","2E.2.4.1","2E.2.4","6","TX English Language Arts"
"2","Complete Sentences in Written Texts","2E.2.4.2","2E.2.4","6","TX English Language Arts"
"2","Sentences With Interesting, Elaborated Subjects","2E.2.4.3","2E.2.4","6","TX English Language Arts"
"2","Edit Writing Toward Standard Grammar and Usage","2E.2.4.4","2E.2.4","6","TX English Language Arts"
"2","Selects and Uses Writing Processes","2E.2.5","2E.2","5","TX English Language Arts"
"2","Generates Ideas for Writing","2E.2.5.1","2E.2.5","6","TX English Language Arts"
"2","Develop Drafts","2E.2.5.2","2E.2.5","6","TX English Language Arts"
"2","Revise Selected Drafts","2E.2.5.3","2E.2.5","6","TX English Language Arts"
"2","Appropriate Grammar, Spelling, Punctuation","2E.2.5.4","2E.2.5","6","TX English Language Arts"
"2","Use Available Technology","2E.2.5.5","2E.2.5","6","TX English Language Arts"
"2","Understanding of Language Use and Spelling","2E.2.5.6","2E.2.5","6","TX English Language Arts"
"2","Evaluates His-Her Own Writing","2E.2.6","2E.2","5","TX English Language Arts"
"2","Identify Effective Features of a Piece of Writing","2E.2.6.1","2E.2.6","6","TX English Language Arts"
"2","Respond Constructively to Others' Writing","2E.2.6.2","2E.2.6","6","TX English Language Arts"
"2","How Own Writing Achieves Its Purposes","2E.2.6.3","2E.2.6","6","TX English Language Arts"
"2","Published Pieces as Models for Writing","2E.2.6.4","2E.2.6","6","TX English Language Arts"
"2","Collection of His-Her Own Written Work","2E.2.6.5","2E.2.6","6","TX English Language Arts"
"2","Writing as a Tool","2E.2.7","2E.2","5","TX English Language Arts"
"2","Write or Dictate Questions for Investigating","2E.2.7.1","2E.2.7","6","TX English Language Arts"
"2","Own Knowledge of a Topic","2E.2.7.2","2E.2.7","6","TX English Language Arts"
"2","Take Simple Notes","2E.2.7.3","2E.2.7","6","TX English Language Arts"
"2","Compile Notes","2E.2.7.4","2E.2.7","6","TX English Language Arts"
"2","Writes for a Variety of Audiences","2E.2.8","2E.2","5","TX English Language Arts"
"2","Write to Record Ideas and Reflections","2E.2.8.1","2E.2.8","6","TX English Language Arts"
"2","Write to Discover, Develop, and Refine Ideas","2E.2.8.2","2E.2.8","6","TX English Language Arts"
"2","Write to Communicate","2E.2.8.3","2E.2.8","6","TX English Language Arts"
"2","Write in Different Forms","2E.2.8.4","2E.2.8","6","TX English Language Arts"
"2","Mathematics","2M","2","3","TX Mathematics"
"2","Place Value","2M.1","2M","4","TX Mathematics"
"2","Use Concrete Models","2M.1.1","2M.1","5","TX Mathematics"
"2","Use Fraction Words","2M.2","2M","4","TX Mathematics"
"2","Name Fractional Pars of Whole Object","2M.2.1","2M.2","5","TX Mathematics"
"2","Name Fractional Parts of Set of Objects","2M.2.2","2M.2","5","TX Mathematics"
"2","Adds and Subtracts Whole Numbers","2M.3","2M","4","TX Mathematics"
"2","Recall and apply Basic Addition Facts","2M.3.1","2M.3","5","TX Mathematics"
"2","Select Addition or Subtration and Solve","2M.3.2","2M.3","5","TX Mathematics"
"2","Determine the Value of Coins","2M.3.3","2M.3","5","TX Mathematics"
"2","Models Multiplication and Division","2M.4","2M","4","TX Mathematics"
"2","Model, Create, Describe Multiplication Situations","2M.4.1","2M.4","5","TX Mathematics"
"2","Model, Create, and Describe Division Situations","2M.4.2","2M.4","5","TX Mathematics"
"2","Use Patterns in Numbers and Operations","2M.5","2M","4","TX Mathematics"
"2","Find Patterns in Numbers","2M.5.1","2M.5","5","TX Mathematics"
"2","Use Patterns in Place Value","2M.5.2","2M.5","5","TX Mathematics"
"2","Use Patterns to Develop Strategies","2M.5.3","2M.5","5","TX Mathematics"
"2","Solve Subtraction Problems","2M.5.4","2M.5","5","TX Mathematics"
"2","Use Pattern Describe Relationships&MakePredictions","2M.6","2M","4","TX Mathematics"
"2","Generate a List of Paired Numbers","2M.6.1","2M.6","5","TX Mathematics"
"2","Identify Patterns","2M.6.2","2M.6","5","TX Mathematics"
"2","Patterns to Make Predictions","2M.6.3","2M.6","5","TX Mathematics"
"2","Use Attributes","2M.7","2M","4","TX Mathematics"
"2","Identify Attributes of Any Shape or Solid","2M.7.1","2M.7","5","TX Mathematics"
"2","Use Attributes to Describe alike or Different","2M.7.2","2M.7","5","TX Mathematics"
"2","Cut Geometric Shapes Apart","2M.7.3","2M.7","5","TX Mathematics"
"2","Recognizes Points on a Line","2M.8","2M","4","TX Mathematics"
"2","UseWholeNumbers to Locate & Name Points on a Line","2M.8.1","2M.8","5","TX Mathematics"
"2","Recognizes and Uses Models","2M.9","2M","4","TX Mathematics"
"2","Identify Concrete Models","2M.9.1","2M.9","5","TX Mathematics"
"2","Measure Length, Capacity, and Weight","2M.9.2","2M.9","5","TX Mathematics"
"2","One Second, One Minute, and One Hour","2M.9.3","2M.9","5","TX Mathematics"
"2","Use Standard Tools","2M.10","2M","4","TX Mathematics"
"2","Read a Thermometer","2M.10.1","2M.10","5","TX Mathematics"
"2","Describe Time on a Clock","2M.10.2","2M.10","5","TX Mathematics"
"2","Organizes Data","2M.11","2M","4","TX Mathematics"
"2","Construct Picture Graphs and Bar-Type Graphs","2M.11.1","2M.11","5","TX Mathematics"
"2","Draw Conclusions and Answer Questions","2M.11.2","2M.11","5","TX Mathematics"
"2","Use Data to Describe Events","2M.113","2M.11","5","TX Mathematics"
"2","Applies Grade 2 Mathematics to Solve","2M.12","2M","4","TX Mathematics"
"2","Indentify the Mathematics","2M.12.1","2M.12","5","TX Mathematics"
"2","Use a Problem-Solving Model","2M.12.2","2M.12","5","TX Mathematics"
"2","Select Develop Appropriate Problem-SovlingStrategy","2M.12.3","2M.12","5","TX Mathematics"
"2","Use Tools","82M.12.4","2M.12","5","TX Mathematics"
"2","Communicates About Grade 2 Mathematics","2M.13","2M","4","TX Mathematics"
"2","Explain and Record Observations","2M.13.1","2M.13","5","TX Mathematics"
"2","Relate Informal Language","2M.13.2","2M.13","5","TX Mathematics"
"2","Use Logical Reasoning","2M.14","2M","4","TX Mathematics"
"2","Reason and Support His or Her Thinking","2M.14.1","2M.14","5","TX Mathematics"
"3","Grade 3","3","TX","2",""
"3","English Language Arts","3E","3","3","TX English Language Arts"
"3","Reading","3E.1","3E","4","TX English Language Arts"
"3","Variety of Word Identification Strategies","3E.1.1","3E.1","5","TX English Language Arts"
"3","Decode by Using All Letter-Sound Correspondences","3E.1.1.1","3E.1.1","6","TX English Language Arts"
"3","Blend Initial Letter-Sounds","3E.1.1.2","3E.1.1","6","TX English Language Arts"
"3","Identify Multisyllable Words","3E.1.1.3","3E.1.1","6","TX English Language Arts"
"3","Use Root Words and Other Structural Cues","3E.1.1.4","3E.1.1","6","TX English Language Arts"
"3","Use Knowledge of Word Order and Context","3E.1.1.5","3E.1.1","6","TX English Language Arts"
"3","Read Both Regular and Irregular Words","3E.1.1.6","3E.1.1","6","TX English Language Arts"
"3","Reads with Fluency and Understanding","3E.1.2","3E.1","5","TX English Language Arts"
"3","Read Regularly in Independent-Level Materials","3E.1.2.1","3E.1.2","6","TX English Language Arts"
"3","Read Regularly in Instructional-Level Materials","3E.1.2.2","3E.1.2","6","TX English Language Arts"
"3","Read Orally from Familiar Texts","3E.1.2.3","3E.1.2","6","TX English Language Arts"
"3","Self-Select Independent-Level Reading","3E.1.2.4","3E.1.2","6","TX English Language Arts"
"3","Read Silently for Increasing Periods of Time","3E.1.2.5","3E.1.2","6","TX English Language Arts"
"3","Reads Widely for Different Purposes","3E.1.3","3E.1","5","TX English Language Arts"
"3","Read Classic and Contemporary Works","3E.1.3.1","3E.1.3","6","TX English Language Arts"
"3","Read from a Variety of Genres","3E.1.3.2","3E.1.3","6","TX English Language Arts"
"3","Read to Accomplish Various Purposes","3E.1.3.3","3E.1.3","6","TX English Language Arts"
"3","Develop an Extensive Vocabulary","3E.1.4","3E.1","5","TX English Language Arts"
"3","Develop Vocabulary by Listening","3E.1.4.1","3E.1.4","6","TX English Language Arts"
"3","Develop Vocabulary Through Reading","3E.1.4.2","3E.1.4","6","TX English Language Arts"
"3","Use Resources and References","3E.1.4.3","3E.1.4","6","TX English Language Arts"
"3","Synonyms, Antonyms, and Multi-Meaning Words","3E.1.4.4","3E.1.4","6","TX English Language Arts"
"3","Variety of Strategies to Comprehend Selections","3E.1.5","3E.1","5","TX English Language Arts"
"3","Use Prior Knowledge","3E.1.5.1","3E.1.5","6","TX English Language Arts"
"3","Establish Purposes for Reading and Listening","3E.1.5.2","3E.1.5","6","TX English Language Arts"
"3","Retell or Act Out the Order of Important Event","3E.1.5.3","3E.1.5","6","TX English Language Arts"
"3","Monitor His Her Own Comprehension","3E.1.5.4","3E.1.5","6","TX English Language Arts"
"3","Draw and Discuss Visual Images","3E.1.5.5","3E.1.5","6","TX English Language Arts"
"3","Make and Explain Inferences","3E.1.5.6","3E.1.5","6","TX English Language Arts"
"3","Identify Similarities and Differences","3E.1.5.7","3E.1.5","6","TX English Language Arts"
"3","Produce Summaries of Text Selections","3E.1.5.8","3E.1.5","6","TX English Language Arts"
"3","Represent Text Information","3E.1.5.9","3E.1.5","6","TX English Language Arts"
"3","Distinguish Fact from Opinion","3E.1.5.10","3E.1.5","6","TX English Language Arts"
"3","Practice Different Kinds of Questions and Tasks","3E.1.5.11","3E.1.5","6","TX English Language Arts"
"3","Respond to Various Texts","3E.1.6","3E.1","5","TX English Language Arts"
"3","Respond to Stories and Poems","3E.1.6.1","3E.1.6","6","TX English Language Arts"
"3","Demonstrate Understanding of Informational Text","3E.1.6.2","3E.1.6","6","TX English Language Arts"
"3","Support Interpretations or Conclusions","3E.1.6.3","3E.1.6","6","TX English Language Arts"
"3","Connect Ideas and Themes","3E.1.6.4","3E.1.6","6","TX English Language Arts"
"3","Analyzes the Characteristics of Various Texts","3E.1.7","3E.1","5","TX English Language Arts"
"3","Distinguish Different Forms of Texts","3E.1.7.1","3E.1.7","6","TX English Language Arts"
"3","Distinguish Fiction from Nonfiction","3E.1.7.2","3E.1.7","6","TX English Language Arts"
"3","Distinguishing Features of Familiar Genres","3E.1.7.3","3E.1.7","6","TX English Language Arts"
"3","Compare Communication in Different Forms","3E.1.7.4","3E.1.7","6","TX English Language Arts"
"3","Understand and Identify Literary Terms","3E.1.7.5","3E.1.7","6","TX English Language Arts"
"3","Understand Literary Forms","3E.1.7.6","3E.1.7","6","TX English Language Arts"
"3","Compare Communications in Different Forms","3E.1.7.7","3E.1.7","6","TX English Language Arts"
"3","Analyze Characters","3E.1.7.8","3E.1.7","6","TX English Language Arts"
"3","Identify the Importance of the Setting","3E.1.7.9","3E.1.7","6","TX English Language Arts"
"3","Recognize the Story Problem or Plot","3E.1.7.10","3E.1.7","6","TX English Language Arts"
"3","Generates Questions and Conducts Research","3E.1.8","3E.1","5","TX English Language Arts"
"3","Identify Relevant Questions for Inquiry","3E.1.8.1","3E.1.8","6","TX English Language Arts"
"3","Use Alphabetical Order","3E.1.8.2","3E.1.8","6","TX English Language Arts"
"3","Recognize and Use Parts of a Book","3E.1.8.3","3E.1.8","6","TX English Language Arts"
"3","Use Multiple Sources","3E.1.8.4","3E.1.8","6","TX English Language Arts"
"3","Interpret and Use Graphic Sources of Information","3E.1.8.5","3E.1.8","6","TX English Language Arts"
"3","Important Areas of the Library Media Center","3E.1.8.6","3E.1.8","6","TX English Language Arts"
"3","Organize Information in Systematic Ways","3E.1.8.7","3E.1.8","6","TX English Language Arts"
"3","Learning Through Productions and Displays","3E.1.8.8","3E.1.8","6","TX English Language Arts"
"3","Use Compiled Information and Knowledge","3E.1.8.9","3E.1.8","6","TX English Language Arts"
"3","Draw Conclusions from Information Gathered","3E.1.8.10","3E.1.8","6","TX English Language Arts"
"3","Reads to Increase Knowledge and Culture","3E.1.9","3E.1","5","TX English Language Arts"
"3","Connect His Her Own Experiences","3E.1.9.1","3E.1.9","6","TX English Language Arts"
"3","Compare Experiences of Characters Across Cultures","3E.1.9.2","3E.1.9","6","TX English Language Arts"
"3","Writing","3E.2","3E","4","TX English Language Arts"
"3","Writes for a Variety of Audiences","3E.2.1","3E.2","5","TX English Language Arts"
"3","Write to Record Ideas and Reflections","3E.2.1.1","3E.2.1","6","TX English Language Arts"
"3","Write to Discover, Develop, and Refine Ideas","3E.2.1.2","3E.2.1","6","TX English Language Arts"
"3","Write to Communicate","3E.2.1.3","3E.2.1","6","TX English Language Arts"
"3","Write to Different Forms","3E.2.1.4","3E.2.1","6","TX English Language Arts"
"3","Composes Original Texts","3E.2.2","3E.2","5","TX English Language Arts"
"3","Control of Penmanship","3E.2.2.1","3E.2.2","6","TX English Language Arts"
"3","Use Capitalization Punctuation","3E.2.2.2","3E.2.2","6","TX English Language Arts"
"3","Spells Proficiently","3E.2.3","3E.2","5","TX English Language Arts"
"3","Spelling of Regularly Spelled Patterns","3E.2.3.1","3E.2.3","6","TX English Language Arts"
"3","Spell Multisyllabic Words","3E.2.3.2","3E.2.3","6","TX English Language Arts"
"3","Spelling of Inflectional Endings","3E.2.3.3","3E.2.3","6","TX English Language Arts"
"3","Use of Orthographic Patterns and Rules","3E.2.3.4","3E.2.3","6","TX English Language Arts"
"3","Contractions, Compounds, and Homonyms","3E.2.3.5","3E.2.3","6","TX English Language Arts"
"3","Spelling of Syllable Constructions","3E.2.3.6","3E.2.3","6","TX English Language Arts"
"3","Spell Words Ending in -tion and -sion","3E.2.3.7","3E.2.3","6","TX English Language Arts"
"3","Correct Spellings, Synonyms, or Replacement Words","3E.2.3.8","3E.2.3","6","TX English Language Arts"
"3","Composes Meaningful Texts","3E.2.4","3E.2","5","TX English Language Arts"
"3","Use Correct Irregular Plurals","3E.2.4.1","3E.2.4","6","TX English Language Arts"
"3","Singular and Plural Forms of Regular Nouns","3E.2.4.2","3E.2.4","6","TX English Language Arts"
"3","Elaborated Sentences in Written Texts","3E.2.4.3","3E.2.4","6","TX English Language Arts"
"3","Sentences With Interesting, Elaborated Subjects","3E.2.4.4","3E.2.4","6","TX English Language Arts"
"3","Edit Writing Toward Standard Grammar and Usage","3E.2.4.5","3E.2.4","6","TX English Language Arts"
"3","Selects and Uses Writing Processes","3E.2.5","3E.2","5","TX English Language Arts"
"3","Generate Ideas for Writing","3E.2.5.1","3E.2.5","6","TX English Language Arts"
"3","Develop Drafts","3E.2.5.2","3E.2.5","6","TX English Language Arts"
"3","Revise Selected Drafts","3E.2.5.3","3E.2.5","6","TX English Language Arts"
"3","Edit Appropriate Grammar, Spelling, Punctuation","3E.2.5.4","3E.2.5","6","TX English Language Arts"
"3","Technology for Aspects of Writing","3E.2.5.5","3E.2.5","6","TX English Language Arts"
"3","Understanding of Language Use and Spelling","3E.2.5.6","3E.2.5","6","TX English Language Arts"
"3","Evaluates Own Writing","3E.2.6","3E.2","5","TX English Language Arts"
"3","Most Effective Features of a Piece of Writing","3E.2.6.1","3E.2.6","6","TX English Language Arts"
"3","Respond Constructively to Others' Writing","3E.2.6.2","3E.2.6","6","TX English Language Arts"
"3","How Writing Achieves its Purposes","3E.2.6.3","3E.2.6","6","TX English Language Arts"
"3","Use Published Pieces as Models for Writing","3E.2.6.4","3E.2.6","6","TX English Language Arts"
"3","Review a Collection of Own Written Work","3E.2.6.5","3E.2.6","6","TX English Language Arts"
"3","Uses Writing as a Tool","3E.2.7","3E.2","5","TX English Language Arts"
"3","Write or Dictate Questions","3E.2.7.1","3E.2.7","6","TX English Language Arts"
"3","Record Knowledge of a Topic","3E.2.7.2","3E.2.7","6","TX English Language Arts"
"3","Take Simple Notes","3E.2.7.3","3E.2.7","6","TX English Language Arts"
"3","Compile Notes","3E.2.7.4","3E.2.7","6","TX English Language Arts"
"3","Mathematics","3M","3","3","TX Mathematics"
"3","Place Value to Communicate","3M.1","3M","4","TX Mathematics"
"3","Use Place Value to Read, Write","3M.1.1","3M.1","5","TX Mathematics"
"3","Place Value to Compare and Order","3M.1.2","3M.1","5","TX Mathematics"
"3","Determine the Value of Coins and Bills","3M.1.3","3M.1","5","TX Mathematics"
"3","Fraction Names and Symbols","3M.2","3M","4","TX Mathematics"
"3","Construct Concrete Models of Fractions","3M.2.1","3M.2","5","TX Mathematics"
"3","Compare Fractional Parts","3M.2.2","3M.2","5","TX Mathematics"
"3","Use Fraction Names and Symbols","3M.2.3","3M.2","5","TX Mathematics"
"3","Construct Concrete Models of Equivalent Fractions","3M.2.4","3M.2","5","TX Mathematics"
"3","Adds and Subtracts to Solve","3M.3","3M","4","TX Mathematics"
"3","Model Addition and Subtraction","3M.3.1","3M.3","5","TX Mathematics"
"3","Select Addition or Subtraction","3M.3.2","3M.3","5","TX Mathematics"
"3","Recognizes and Solves Problems in Multi.and Div.","3M.4","3M","4","TX Mathematics"
"3","Learn and Apply Multiplication Facts","3M.4.1","3M.4","5","TX Mathematics"
"3","Solve and Record Multiplication Problems","3M.4.2","3M.4","5","TX Mathematics"
"3","Use Models to Solve Division Problems","3M.4.3","3M.4","5","TX Mathematics"
"3","Estimates to Determine Reasonable Results","3M.5","3M","4","TX Mathematics"
"3","Round Two-Digit Numbers","3M.5.1","3M.5","5","TX Mathematics"
"3","Estimate Sums and Differences","3M.5.2","3M.5","5","TX Mathematics"
"3","Uses Patterns to Solve Problems","3M.6","3M","4","TX Mathematics"
"3","Identify and Extend Patterns","3M.6.1","3M.6","5","TX Mathematics"
"3","Identify Patterns in Multiplication Facts","3M.6.2","3M.6","5","TX Mathematics"
"3","Identify Patterns in Multi. and Div. Sentences","3M.6.3","3M.6","5","TX Mathematics"
"3","Uses Lists, Tables and Charts","3M.7","3M","4","TX Mathematics"
"3","Generate a Table of Paired Numbers","3M.7.1","3M.7","5","TX Mathematics"
"3","Identify Patterns","3M.7.2","3M.7","5","TX Mathematics"
"3","Uses Formal Geometric Vocabulary","3M.8","3M","4","TX Mathematics"
"3","Name, Describe,and Compare Shapes and Solids","3M.8.1","3M.8","5","TX Mathematics"
"3","Congruence and Symmetry","3M.9","3M","4","TX Mathematics"
"3","Identify Congruent Shapes","3M.9.1","3M.9","5","TX Mathematics"
"3","Create Shapes with Lines of Symmetry","3M.9.2","3M.9","5","TX Mathematics"
"3","Identify Lines of Symmetry in Shapes","3M.9.3","3M.9","5","TX Mathematics"
"3","Numbers Represented by Points on a Line","3M.10","3M","4","TX Mathematics"
"3","Locate and Name Points on an Line","3M.10.1","3M.10","5","TX Mathematics"
"3","Measure Length and Area","3M.11","3M","4","TX Mathematics"
"3","Estimate and Measure Lengths","3M.11.1","3M.11","5","TX Mathematics"
"3","Use Linear Measure","3M.11.2","3M.11","5","TX Mathematics"
"3","Use Concrete Models","3M.11.3","3M.11","5","TX Mathematics"
"3","Measures Time and Temperature","3M.12","3M","4","TX Mathematics"
"3","Tell and Write Time","3M.12.1","3M.12","5","TX Mathematics"
"3","Use a Thermometer","3M.12.2","3M.12","5","TX Mathematics"
"3","Applies Measurement Concepts","3M.13","3M","4","TX Mathematics"
"3","Measure to Solve Problems","3M.13.1","3M.13","5","TX Mathematics"
"3","Solves Problems","3M.14","3M","4","TX Mathematics"
"3","Collect,Organize,Record and Display Data","3M.14.1","3M.14","5","TX Mathematics"
"3","Interpret Information","3M.14.2","3M.14","5","TX Mathematics"
"3","Use Data to Describe Events","3M.14.3","3M.14","5","TX Mathematics"
"3","Applies Grade 3 Mathematics to Solve Problems","3M.15","3M","4","TX Mathematics"
"3","Identify the Mathematics in Everyday Situations","3M.15.1","3M.15","5","TX Mathematics"
"3","Use a Problem-Solving Model","3M.15.2","3M.15","5","TX Mathematics"
"3","Select Develop an Appropriate Prob.-Solv. Strategy","3M.15.3","3M.15","5","TX Mathematics"
"3","Use Tools","3M.15.4","3M.15","5","TX Mathematics"
"3","Communicates About Grade 3 Mathematics","3M.16","3M","4","TX Mathematics"
"3","Explain and Record Observations","3M.16.1","3M.16","5","TX Mathematics"
"3","Relate Informal Language","3M.16.2","3M.16","5","TX Mathematics"
"3","Uses Logical Reasoning","3M.17","3M","4","TX Mathematics"
"3","Make Generalizations","3M.17.1","3M.17","5","TX Mathematics"
"3","Justify why an Answer is Reasonable","3M.17.2","3M.17","5","TX Mathematics"
"4","Grade 4","4","TX","2",""
"4","English Language Arts","4E","4","3","TX English Language Arts"
"4","Reading","4E.1","4E","4","TX English Language Arts"
"4","Uses a Variety of Word Recognition Strategies","4E.1.1","4E.1","5","TX English Language Arts"
"4","Apply Knowledge of Letter-Sound Correspondences","4E.1.1.1","4E.1.1","6","TX English Language Arts"
"4","Use Structural Analysis to Identify Root Words","4E.1.1.2","4E.1.1","6","TX English Language Arts"
"4","Locate the Meanings, Pronunciations, & Derivations","4E.1.1.3","4E.1.1","6","TX English Language Arts"
