"","Ctb assessment bank","CTB","0","1",""
"2","Informational sources","2R.6.1","2R.6","5","CTB Reading"
"2","Table of contents","2R.6.1.1","2R.6.1","6","CTB Reading"
"2","Picture dictionary","2R.6.1.3","2R.6.1","6","CTB Reading"
"2","Language","2L","2","3","CTB Language"
"2","Language structure and conventions editing skills","2L.1","2L","4","CTB Language"
"2","Usage","2L.1.1","2L.1","5","CTB Language"
"2","Nouns","2L.1.1.1","2L.1.1","6","CTB Language"
"2","Verbs","2L.1.1.2","2L.1.1","6","CTB Language"
"2","Agreement","2L.1.1.2.2","2L.1.1.2","7","CTB Language"
"2","Sentence structure","2L.1.2","2L.1","5","CTB Language"
"2","Capitalization","2L.1.3","2L.1","5","CTB Language"
"2","Proper nouns","2L.1.3.1","2L.1.3","6","CTB Language"
"2","First word in sentence","2L.1.3.2","2L.1.3","6","CTB Language"
"2","Punctuation","2L.1.4","2L.1","5","CTB Language"
"2","End punctuation","2L.1.4.1","2L.1.4","6","CTB Language"
"2","Spelling","2L.1.5","2L.1","5","CTB Language"
"2","Frequently used words","2L.1.5.1","2L.1.5","6","CTB Language"
"2","Plural nouns","2L.1.5.2","2L.1.5","6","CTB Language"
"2","Regular verbs","2L.1.5.3","2L.1.5","6","CTB Language"
"2","Vocabulary use","2L.1.6","2L.1","5","CTB Language"
"2","Word choice","2L.1.6.1","2L.1.6","6","CTB Language"
"2","Writing process","2L.2","2L","4","CTB Language"
"2","Prewriting; organizing strategies","2L.2.1","2L.2","5","CTB Language"
"2","Drawing pictures; listing, mapping, graphic org.","2L.2.1.1","2L.2.1","6","CTB Language"
"2","Develop and revise draft","2L.2.2","2L.2","5","CTB Language"
"2","Paragraph development","2L.2.2.1","2L.2.2","6","CTB Language"
"2","Conclusion","2L.2.2.1.3","2L.2.2.1","7","CTB Language"
"2","Writing organization","2L.2.2.2","2L.2.2","6","CTB Language"
"2","Logical sequence","2L.2.2.2.1","2L.2.2.2","7","CTB Language"
"2","Narrative writing","2L.2.3","2L.2","5","CTB Language"
"2","Descriptive writing","2L.2.4","2L.2","5","CTB Language"
"2","Mathematics","2M","2","3","CTB Mathematics"
"2","Number and operations","2M.1","2M","4","CTB Mathematics"
"2","Counting","2M.1.1","2M.1","5","CTB Mathematics"
"2","Count forward","2M.1.1.1","2M.1.1","6","CTB Mathematics"
"2","Identify whole numbers before, after any number","2M.1.1.4","2M.1.1","6","CTB Mathematics"
"2","Read, recognize, write numbers","2M.1.2","2M.1","5","CTB Mathematics"
"2","Number words and numerals","2M.1.2.1","2M.1.2","6","CTB Mathematics"
"2","Place value","2M.1.3","2M.1","5","CTB Mathematics"
"2","Identify the place value of digits","2M.1.3.1","2M.1.3","6","CTB Mathematics"
"2","Identify zero as place holder","2M.1.3.2","2M.1.3","6","CTB Mathematics"
"2","Equivalent forms","2M.1.4","2M.1","5","CTB Mathematics"
"2","Identify various ways to represent numbers","2M.1.4.1","2M.1.4","6","CTB Mathematics"
"2","Expanded notation","2M.1.4.2","2M.1.4","6","CTB Mathematics"
"2","Fractions","2M.1.4.3","2M.1.4","6","CTB Mathematics"
"2","Compare, order","2M.1.5","2M.1","5","CTB Mathematics"
"2","Whole numbers","2M.1.5.1","2M.1.5","6","CTB Mathematics"
"2","Use number line","2M.1.5.2","2M.1.5","6","CTB Mathematics"
"2","Ordinal numbers","2M.1.6","2M.1","5","CTB Mathematics"
"2","Use ordinal numbers","2M.1.6.1","2M.1.6","6","CTB Mathematics"
"2","Money","2M.1.7","2M.1","5","CTB Mathematics"
"2","Identify and count combinations of coins and bills","2M.1.7.1","2M.1.7","6","CTB Mathematics"
"2","Make change","2M.1.7.2","2M.1.7","6","CTB Mathematics"
"2","Fractions, decimals, percents","2M.1.8","2M.1","5","CTB Mathematics"
"2","Identify and represent fractions using models","2M.1.8.1","2M.1.8","6","CTB Mathematics"
"2","Identify and represent decimals using models","2M.1.8.2","2M.1.8","6","CTB Mathematics"
"2","Rounding","2M.1.9","2M.1","5","CTB Mathematics"
"2","Whole numbers","2M.1.9.1","2M.1.9","6","CTB Mathematics"
"2","Money","2M.1.9.2","2M.1.9","6","CTB Mathematics"
"2","Number theory","2M.1.10","2M.1","5","CTB Mathematics"
"2","Identify numbers as even or odd","2M.1.10.1","2M.1.10","6","CTB Mathematics"
"2","Computation","2M.1.11","2M.1","5","CTB Mathematics"
"2","Whole numbers","2M.1.11.1","2M.1.11","6","CTB Mathematics"
"2","Money","2M.1.11.2","2M.1.11","6","CTB Mathematics"
"2","Decimals","2M.1.11.3","2M.1.11","6","CTB Mathematics"
"2","Estimation","2M.1.12","2M.1","5","CTB Mathematics"
"2","Estimate sums and differences","2M.1.12.1","2M.1.12","6","CTB Mathematics"
"2","Est. quantities of obj. in picture, set using ref.","2M.1.12.2","2M.1.12","6","CTB Mathematics"
"2","Operation sense","2M.1.13","2M.1","5","CTB Mathematics"
"2","Use signs, vocab. for basic operations","2M.1.13.1","2M.1.13","6","CTB Mathematics"
"2","Properties of real numbers","2M.1.14","2M.1","5","CTB Mathematics"
"2","Identify element","2M.1.14.1","2M.1.14","6","CTB Mathematics"
"2","Commutative property","2M.1.14.2","2M.1.14","6","CTB Mathematics"
"2","Associative property","2M.1.14.3","2M.1.14","6","CTB Mathematics"
"2","Represent operations","2M.1.15","2M.1","5","CTB Mathematics"
"2","Recognize add., sub. as inverses","2M.1.15.2","2M.1.15","6","CTB Mathematics"
"2","Use arrays associated with addition, mult.","2M.1.15.4","2M.1.15","6","CTB Mathematics"
"2","Algebra","2M.2","2M","4","CTB Mathematics"
"2","Patterns, functions, rules","2M.2.1","2M.2","5","CTB Mathematics"
"2","Extend, predict terms for number, geo. patterns","2M.2.1.1","2M.2.1","6","CTB Mathematics"
"2","Find missing elements in patterns","2M.2.1.2","2M.2.1","6","CTB Mathematics"
"2","Describe and identify patterns in 100's chart","2M.2.1.3","2M.2.1","6","CTB Mathematics"
"2","State rule for number, geo. pattern, t-table","2M.2.1.4","2M.2.1","6","CTB Mathematics"
"2","Use a function rule to solve problems","2M.2.1.5","2M.2.1","6","CTB Mathematics"
"2","Complete a table using given rule","2M.2.1.6","2M.2.1","6","CTB Mathematics"
"2","Recognize similar patterns","2M.2.1.7","2M.2.1","6","CTB Mathematics"
"2","Variable","2M.2.2","2M.2","5","CTB Mathematics"
"2","Fill in missing element in number sentences","2M.2.2.1","2M.2.2","6","CTB Mathematics"
"2","Equation","2M.2.3","2M.2","5","CTB Mathematics"
"2","Express mathematical relationships using equations","2M.2.3.1","2M.2.3","6","CTB Mathematics"
"2","Geometry","2M.3","2M","4","CTB Mathematics"
"2","Plane figures","2M.3.1","2M.3","5","CTB Mathematics"
"2","Identify, classify plane figures","2M.3.1.1","2M.3.1","6","CTB Mathematics"
"2","Describe attributes and properties of plane figure","2M.3.1.2","2M.3.1","6","CTB Mathematics"
"2","Solid figures","2M.3.2","2M.3","5","CTB Mathematics"
"2","Identify, classify solid figures","2M.3.2.1","2M.3.2","6","CTB Mathematics"
"2","Describe attributes and properties of solid figure","2M.3.2.2","2M.3.2","6","CTB Mathematics"
"2","Coordinate geometry","2M.3.3","2M.3","5","CTB Mathematics"
"2","Locate points","2M.3.3.1","2M.3.3","6","CTB Mathematics"
"2","Graph ordered pairs","2M.3.3.2","2M.3.3","6","CTB Mathematics"
"2","Congruence, similarity","2M.3.4","2M.3","5","CTB Mathematics"
"2","Identify congruent shapes and figures","2M.3.4.1","2M.3.4","6","CTB Mathematics"
"2","Identify similar shapes and figures","2M.3.4.2","2M.3.4","6","CTB Mathematics"
"2","Symmetry","2M.3.5","2M.3","5","CTB Mathematics"
"2","Identify and create shapes that have symmetry","2M.3.5.1","2M.3.5","6","CTB Mathematics"
"2","Identify lines of symmetry","2M.3.5.2","2M.3.5","6","CTB Mathematics"
"2","Transformations","2M.3.6","2M.3","5","CTB Mathematics"
"2","Identify a shape with a different orientation","2M.3.6.1","2M.3.6","6","CTB Mathematics"
"2","Spatial reasoning","2M.3.7","2M.3","5","CTB Mathematics"
"2","Identify and represent shapes, figures","2M.3.7.1","2M.3.7","6","CTB Mathematics"
"2","Investigate, predict results of comb. subd. shapes","2M.3.7.2","2M.3.7","6","CTB Mathematics"
"2","Measurement","2M.4","2M","4","CTB Mathematics"
"2","Appropriate tool","2M.4.1","2M.4","5","CTB Mathematics"
"2","Select appropriate tool","2M.4.1.1","2M.4.1","6","CTB Mathematics"
"2","Appropriate unit","2M.4.2","2M.4","5","CTB Mathematics"
"2","Recognize the need for uniform units of measure","2M.4.2.1","2M.4.2","6","CTB Mathematics"
"2","Select appropriate unit","2M.4.2.2","2M.4.2","6","CTB Mathematics"
"2","Non-standard units","2M.4.3","2M.4","5","CTB Mathematics"
"2","Measure length","2M.4.3.1","2M.4.3","6","CTB Mathematics"
"2","Time","2M.4.4","2M.4","5","CTB Mathematics"
"2","Tell time","2M.4.4.1","2M.4.4","6","CTB Mathematics"
"2","Determine elapsed time using a clock","2M.4.4.2","2M.4.4","6","CTB Mathematics"
"2","Calendar","2M.4.5","2M.4","5","CTB Mathematics"
"2","Read a calendar","2M.4.5.1","2M.4.5","6","CTB Mathematics"
"2","Determine elapsed time","2M.4.5.2","2M.4.5","6","CTB Mathematics"
"2","Temperature","2M.4.6","2M.4","5","CTB Mathematics"
"2","Read thermometers","2M.4.6.1","2M.4.6","6","CTB Mathematics"
"2","Length, distance","2M.4.7","2M.4","5","CTB Mathematics"
"2","Compare and order objects","2M.4.7.1","2M.4.7","6","CTB Mathematics"
"2","Determine length, distance","2M.4.7.2","2M.4.7","6","CTB Mathematics"
"2","Estimate length, distance","2M.4.7.3","2M.4.7","6","CTB Mathematics"
"2","Mass, weight","2M.4.8","2M.4","5","CTB Mathematics"
"2","Compare and order objects","2M.4.8.2","2M.4.8","6","CTB Mathematics"
"2","Read a scale","2M.4.8.3","2M.4.8","6","CTB Mathematics"
"2","Volume, capacity","2M.4.9","2M.4","5","CTB Mathematics"
"2","Understand and explore volume, capacity","2M.4.9.1","2M.4.9","6","CTB Mathematics"
"2","Measure volume","2M.4.9.2","2M.4.9","6","CTB Mathematics"
"2","Estimate volume, capacity","2M.4.9.3","2M.4.9","6","CTB Mathematics"
"2","Convert measurement units","2M.4.10","2M.4","5","CTB Mathematics"
"2","Convert within the same system","2M.4.10.1","2M.4.10","6","CTB Mathematics"
"2","Perimeter","2M.4.11","2M.4","5","CTB Mathematics"
"2","Find the perimeter of polygons","2M.4.11.1","2M.4.11","6","CTB Mathematics"
"2","Area","2M.4.12","2M.4","5","CTB Mathematics"
"2","Find the area of polygons","2M.4.12.1","2M.4.12","6","CTB Mathematics"
"2","Estimate area","2M.4.12.2","2M.4.12","6","CTB Mathematics"
"2","Data analysis and probability","2M.5","2M","4","CTB Mathematics"
"2","Read and interpret data","2M.5.1","2M.5","5","CTB Mathematics"
"2","Read and interpret data displays","2M.5.1.1","2M.5.1","6","CTB Mathematics"
"2","Compare data","2M.5.1.2","2M.5.1","6","CTB Mathematics"
"2","Make inferences and draw conclusions from data","2M.5.1.3","2M.5.1","6","CTB Mathematics"
"2","Use data to solve problems","2M.5.1.4","2M.5.1","6","CTB Mathematics"
"2","Organize data","2M.5.2","2M.5","5","CTB Mathematics"
"2","Organize data","2M.5.2.1","2M.5.2","6","CTB Mathematics"
"2","Complete data display","2M.5.2.2","2M.5.2","6","CTB Mathematics"
"2","Probability","2M.5.3","2M.5","5","CTB Mathematics"
"2","List all outcomes of experiments","2M.5.3.1","2M.5.3","6","CTB Mathematics"
"2","Determine probability of events","2M.5.3.2","2M.5.3","6","CTB Mathematics"
"2","Problem solving-reasoning-proof","2M.6","2M","4","CTB Mathematics"
"2","Identify missing, extra information","2M.6.1","2M.6","5","CTB Mathematics"
"2","Determine missing, extra information","2M.6.1.1","2M.6.1","6","CTB Mathematics"
"2","Develop strategy","2M.6.2","2M.6","5","CTB Mathematics"
"2","Determine, use appropriate strategy to solve prob.","2M.6.2.1","2M.6.2","6","CTB Mathematics"
"2","Evaluate solution","2M.6.3","2M.6","5","CTB Mathematics"
"2","Use reasoning to explain, verify correctness","2M.6.3.3","2M.6.3","6","CTB Mathematics"
"2","Inductive-deductive reasoning","2M.6.4","2M.6","5","CTB Mathematics"
"2","Use inductive, deductive reasoning","2M.6.4.1","2M.6.4","6","CTB Mathematics"
"2","Make and evaluate conjectures, proofs","2M.6.5","2M.6","5","CTB Mathematics"
"2","Make, test, conjectures, proofs","2M.6.5.1","2M.6.5","6","CTB Mathematics"
"2","Conclusion and generalization","2M.6.6","2M.6","5","CTB Mathematics"
"2","Justify concl. involving simple, compound state.","2M.6.6.2","2M.6.6","6","CTB Mathematics"
"2","Solve multi-step problems","2M.6.7","2M.6","5","CTB Mathematics"
"2","Solve problems involving more than one step","2M.6.7.1","2M.6.7","6","CTB Mathematics"
"2","Communication-representation","2M.7","2M","4","CTB Mathematics"
"2","Model problem solution","2M.7.1","2M.7","5","CTB Mathematics"
"2","Show how to solve problem","2M.7.1.1","2M.7.1","6","CTB Mathematics"
"2","Model problem situation","2M.7.2","2M.7","5","CTB Mathematics"
"2","Use math symbols, words to represent problem sit.","2M.7.2.1","2M.7.2","6","CTB Mathematics"
"2","Relate models to ideas","2M.7.3","2M.7","5","CTB Mathematics"
"2","Use models to identify, explain key math concepts","2M.7.3.1","2M.7.3","6","CTB Mathematics"
"2","Evaluate ideas","2M.7.4","2M.7","5","CTB Mathematics"
"2","Analyze, evaluate, explain math thinking, strat.","2M.7.4.1","2M.7.4","6","CTB Mathematics"
"2","Explain solution process","2M.7.5","2M.7","5","CTB Mathematics"
"2","Explain, justify, and reason the solution process","2M.7.5.1","2M.7.5","6","CTB Mathematics"
"2","Civics","2C","2C","3","CTB Civics"
"2","Role of government","2C.1","2C","4","CTB Civics"
"2","Rules and laws","2C.1.1","2C.1","5","CTB Civics"
"2","Principles and purposes of government","2C.1.2","2C.1","5","CTB Civics"
"2","American political heritage","2C.2","2C","4","CTB Civics"
"2","Symbols of the united states","2C.2.1","2C.2","5","CTB Civics"
"2","Democratic values and principles","2C.2.2","2C.2","5","CTB Civics"
"2","Structures and processes of the u.s. government","2C.3","2C","4","CTB Civics"
"2","Purpose and principles of the constitution","2C.3.1","2C.3","5","CTB Civics"
"2","Fed., state, local govt. responsibilities, powers","2C.3.2","2C.3","5","CTB Civics"
"2","Executive, legislative, judicial branches","2C.3.3","2C.3","5","CTB Civics"
"2","Role of the citizen","2C.4","2C","4","CTB Civics"
"2","Rights and responsibilities of citizens","2C.4.1","2C.4","5","CTB Civics"
"2","Civic contributions of individuals, groups","2C.4.2","2C.4","5","CTB Civics"
"2","World affairs","2C.5","2C","4","CTB Civics"
"2","Global interactions","2C.5.1","2C.5","5","CTB Civics"
"2","Economics","2E","2","3","CTB Economics"
"2","Economic choices","2E.1","2E","4","CTB Economics"
"2","Needs and wants","2E.1.1","2E.1","5","CTB Economics"
"2","Personal budgeting","2E.1.2","2E.1","5","CTB Economics"
"2","Production, distribution, consumption","2E.2","2E","4","CTB Economics"
"2","Consumers, producers, and distributors","2E.2.1","2E.2","5","CTB Economics"
"2","Supply and demand","2E.2.2","2E.2","5","CTB Economics"
"2","Goods and services","2E.2.3","2E.2","5","CTB Economics"
"2","Human, natural, and capital resources","2E.2.4","2E.2","5","CTB Economics"
"2","Transportation, communication, and technology","2E.2.5","2E.2","5","CTB Economics"
"2","Forms of exchange","2E.3","2E","4","CTB Economics"
"2","Exchange and money","2E.3.1","2E.3","5","CTB Economics"
"2","Economic institutions","2E.4","2E","4","CTB Economics"
"2","Roles of various institutions","2E.4.1","2E.4","5","CTB Economics"
"2","Labor and business","2E.5","2E","4","CTB Economics"
"2","Specialization","2E.5.1","2E.5","5","CTB Economics"
"2","Role of government","2E.6","2E","4","CTB Economics"
"2","Public goods and services","2E.6.1","2E.6","5","CTB Economics"
"2","Economic systems","2E.7","2E","4","CTB Economics"
"2","Types of systems","2E.7.1","2E.7","5","CTB Economics"
"2","Economic interdependence","2E.8","2E","4","CTB Economics"
"2","Trade","2E.8.1","2E.8","5","CTB Economics"
"2","Application of economics","2E.9","2E","4","CTB Economics"
"2","Apply economics to interpret the past","2E.9.1","2E.9","5","CTB Economics"
"2","Apply econ. to interpret present, plan for future","2E.9.2","2E.9","5","CTB Economics"
"2","Geography","2G","2","3","CTB Geography"
"2","The world in spatial terms","2G.1","2G","4","CTB Geography"
"2","Maps, graphics, and other tools","2G.1.1","2G.1","5","CTB Geography"
"2","Mental maps","2G.1.2","2G.1","5","CTB Geography"
"2","Places and regions","2G.2","2G","4","CTB Geography"
"2","Physical characteristics of places","2G.2.1","2G.2","5","CTB Geography"
"2","Human characteristics of places","2G.2.2","2G.2","5","CTB Geography"
"2","Regions","2G.2.3","2G.2","5","CTB Geography"
"2","Physical systems","2G.3","2G","4","CTB Geography"
"2","Physical processes","2G.3.1","2G.3","5","CTB Geography"
"2","Ecosystems","2G.3.2","2G.3","5","CTB Geography"
"2","Human systems","2G.4","2G","4","CTB Geography"
"2","Cultural systems","2G.4.2","2G.4","5","CTB Geography"
"2","Environment and society","2G.5","2G","4","CTB Geography"
"2","Human actions modify the physical environment","2G.5.1","2G.5","5","CTB Geography"
"2","Physical systems affect human systems","2G.5.2","2G.5","5","CTB Geography"
"2","Resources","2G.5.3","2G.5","5","CTB Geography"
"2","The uses of geography","2G.6","2G","4","CTB Geography"
"2","Apply geography to interpret the past","2G.6.1","2G.6","5","CTB Geography"
"2","Apply geog. to interpret present, plan for future","2G.6.2","2G.6","5","CTB Geography"
"2","History","2H","2","3","CTB History"
"2","United states history","2H.1","2H","4","CTB History"
"2","How people lived long ago","2H.1.1","2H.1","5","CTB History"
"2","Famous people and events","2H.1.2","2H.1","5","CTB History"
"2","Technology and tools","2H.1.3","2H.1","5","CTB History"
"2","National holidays and symbols","2H.1.4","2H.1","5","CTB History"
"2","World history","2H.2","2H","4","CTB History"
"2","How people lived long ago","2H.2.1","2H.2","5","CTB History"
"2","Technology and tools","2H.2.2","2H.2","5","CTB History"
"2","Cultures","2H.3","2H","4","CTB History"
"2","Components of culture","2H.3.1","2H.3","5","CTB History"
"2","Connections between cultures worldwide","2H.3.2","2H.3","5","CTB History"
"2","Time cognition and chronology","2H.4","2H","4","CTB History"
"2","Time concepts and terms","2H.4.1","2H.4","5","CTB History"
"2","Historical research and analysis","2H.5","2H","4","CTB History"
"2","Obtain historical data","2H.5.1","2H.5","5","CTB History"
"2","Analyze historical data","2H.5.2","2H.5","5","CTB History"
"2","Science","2SC","2","3","CTB Science"
"2","Life science","2SC.1","2SC","4","CTB Science"
"2","Habitat and adaptation","2SC.1.1","2SC.1","5","CTB Science"
"2","Life cycles","2SC.1.2","2SC.1","5","CTB Science"
"2","Taxonomy","2SC.1.3","2SC.1","5","CTB Science"
"2","Physical science","2SC.2","2SC","4","CTB Science"
"2","Energy","2SC.2.1","2SC.2","5","CTB Science"
"2","Motions and forces","2SC.2.2","2SC.2","5","CTB Science"
"2","Structure and properties of matter","2SC.2.3","2SC.2","5","CTB Science"
"2","Earth and space","2SC.3","2SC","4","CTB Science"
"2","Changes in the earth and sky","2SC.3.1","2SC.3","5","CTB Science"
"2","Earth material","2SC.3.2","2SC.3","5","CTB Science"
"2","Objects in the sky","2SC.3.3","2SC.3","5","CTB Science"
"2","Inquiry","2SC.4","2SC","4","CTB Science"
"2","Data interpretation","2SC.4.1","2SC.4","5","CTB Science"
"2","Methods and design","2SC.4.2","2SC.4","5","CTB Science"
"2","Science and technology","2SC.5","2SC","4","CTB Science"
"2","Design of technology","2SC.5.1","2SC.5","5","CTB Science"
"2","Use of technology","2SC.5.2","2SC.5","5","CTB Science"
"3","Grade 3","3","CTB","1",""
"3","Reading","3R","3","1","CTB Reading"
"3","Vocabulary","3R.1","3R","1","CTB Reading"
"3","Word meaning","3R.1.1","3R.1","1","CTB Reading"
"3","Synonyms-antonyms","3R.1.1.1","3R.1.1","1","CTB Reading"
"3","Context clues","3R.1.1.2","3R.1.1","1","CTB Reading"
"3","Multiple meaning","3R.1.1.3","3R.1.1","1","CTB Reading"
"3","Word analysis","3R.1.2","3R.1","1","CTB Reading"
"3","Syllabication","3R.1.2.2","3R.1.2","1","CTB Reading"
"3","Compounds-contractions","3R.1.2.5","3R.1.2","1","CTB Reading"
"3","Root words","3R.1.2.6","3R.1.2","1","CTB Reading"
"3","Prefixes","3R.1.2.3","3R.1.2","1","CTB Reading"
"3","Basic understanding","3R.2","3R","1","CTB Reading"
"3","Text elements","3R.2.1","3R.2","1","CTB Reading"
"3","Plot","3R.2.1.1","3R.2.1","1","CTB Reading"
"3","Setting","3R.2.1.2","3R.2.1","1","CTB Reading"
"3","Character","3R.2.1.3","3R.2.1","1","CTB Reading"
"3","Sequence of events-information","3R.2.1.4","3R.2.1","1","CTB Reading"
"3","Stated information","3R.2.2","3R.2","1","CTB Reading"
"3","Facts-details","3R.2.2.1","3R.2.2","1","CTB Reading"
"3","Main idea","3R.2.2.2","3R.2.2","1","CTB Reading"
"3","Summary or retelling","3R.2.4","3R.2","1","CTB Reading"
"3","Analyze text","3R.3","3R","1","CTB Reading"
"3","Text relationships","3R.3.1","3R.3","1","CTB Reading"
"3","Compare-contrast","3R.3.1.1","3R.3.1","1","CTB Reading"
"3","Problem-solution","3R.3.1.2","3R.3.1","1","CTB Reading"
"3","Cause-effect","3R.3.1.3","3R.3.1","1","CTB Reading"
"3","Inferences and conclusions","3R.3.2","3R.3","1","CTB Reading"
"3","Text elements","3R.3.3","3R.3","1","CTB Reading"
"3","Implied main idea-theme","3R.3.3.1","3R.3.3","1","CTB Reading"
"3","Character analysis","3R.3.3.3","3R.3.3","1","CTB Reading"
"3","Figurative language and literary devices","3R.3.4","3R.3","1","CTB Reading"
"3","Patterns","3R.3.4.1","3R.3.4","1","CTB Reading"
"3","Rhymes-rhythms","3R.3.4.2","3R.3.4","1","CTB Reading"
"3","Genre","3R.3.5","3R.3","1","CTB Reading"
"3","Evaluate and extend meaning","3R.4","3R","1","CTB Reading"
"3","Connections beyond or between texts","3R.4.1","3R.4","1","CTB Reading"
"3","Predict-confirm","3R.4.1.1","3R.4.1","1","CTB Reading"
"3","Similarities-differences","3R.4.1.2","3R.4.1","1","CTB Reading"
"3","Author elements","3R.4.2","3R.4","1","CTB Reading"
"3","Purpose","3R.4.2.1","3R.4.2","1","CTB Reading"
"3","Individual response to text","3R.4.3","3R.4","1","CTB Reading"
"3","Text organization and reading strategies","3R.5","3R","1","CTB Reading"
"3","Structure of text","3R.5.1","3R.5","1","CTB Reading"
"3","Graphic features-illustrations","3R.5.1.1","3R.5.1","1","CTB Reading"
"3","Organizing strategies","3R.5.2","3R.5","1","CTB Reading"
"3","Graphic organizers-webs","3R.5.2.1","3R.5.2","1","CTB Reading"
"3","Research skills","3R.6","3R","1","CTB Reading"
"3","Informational sources","3R.6.1","3R.6","1","CTB Reading"
"3","Table of contents","3R.6.1.1","3R.6.1","1","CTB Reading"
"3","Alphabetic order-guide words","3R.6.1.2","3R.6.1","1","CTB Reading"
"3","Picture dictionary","3R.6.1.3","3R.6.1","1","CTB Reading"
"3","Fiction-non-fiction books","3R.6.1.4","3R.6.1","1","CTB Reading"
"3","Media","3R.6.1.5","3R.6.1","1","CTB Reading"
"3","Research","3R.6.2","3R.6","1","CTB Reading"
"3","Formulate questions","3R.6.2.1","3R.6.2","1","CTB Reading"
"3","Select appropriate resources","3R.6.2.2","3R.6.2","1","CTB Reading"
"3","Language","3L","3","1","CTB Language"
"3","Language structure and conventions editing skills","3L.1","3L","1","CTB Language"
"3","Usage","3L.1.1","3L.1","1","CTB Language"
"3","Nouns; pronouns","3L.1.1.1","3L.1.1","1","CTB Language"
"3","Verbs","3L.1.1.2","3L.1.1","1","CTB Language"
"3","Tense","3L.1.1.2.1","3L.1.1.2","1","CTB Language"
"3","Agreement","3L.1.1.2.2","3L.1.1.2","1","CTB Language"
"3","Adjectives","3L.1.1.3","3L.1.1","1","CTB Language"
"3","Adverbs","3L.1.1.4","3L.1.1","1","CTB Language"
"3","Sentence structure","3L.1.2","3L.1","1","CTB Language"
"3","Types of sentences","3L.1.2.1","3L.1.2","1","CTB Language"
"3","Complete","3L.1.2.2","3L.1.2","1","CTB Language"
"3","Combining sentences","3L.1.2.3","3L.1.2","1","CTB Language"
"3","Capitalization","3L.1.3","3L.1","1","CTB Language"
"3","Proper nouns","3L.1.3.1","3L.1.3","1","CTB Language"
"3","Punctuation","3L.1.4","3L.1","1","CTB Language"
"3","Commas","3L.1.4.1","3L.1.4","1","CTB Language"
"3","End punctuation","3L.1.4.2","3L.1.4","1","CTB Language"
"3","Spelling","3L.1.5","3L.1","1","CTB Language"
"3","Frequently misspelled words","3L.1.5.1","3L.1.5","1","CTB Language"
"3","Plural nouns","3L.1.5.2","3L.1.5","1","CTB Language"
"3","Regular verbs","3L.1.5.3","3L.1.5","1","CTB Language"
"3","Vocabulary use","3L.1.6","3L.1","1","CTB Language"
"3","Word choice, effective words","3L.1.6.1","3L.1.6","1","CTB Language"
"3","Writing process","3L.2","3L","1","CTB Language"
"3","Prewriting; organizing strategies","3L.2.1","3L.2","1","CTB Language"
"3","Listing, mapping, graphic organizers, questions","3L.2.1.1","3L.2.1","1","CTB Language"
