"","West Virginia CF Root","WV","0","1",""
"3","Role-play making change up to $1000","MA.3.4.9","3.MA.S.4","4","WV Mathematics"
"3","Estimate, read, and recognize common temperatures of celsius and fahrenheit","MA.3.4.10","3.MA.S.4","4","WV Mathematics"
"3","Data Analysis and Probability ","3.MA.S.5","3","3","WV Mathematics"
"3","Collect data from observation, surveys, and experiments, and construct and label a graph","MA.3.5.1","3.MA.S.5","4","WV Mathematics"
"3","Use a timeline to determine a sequence of events","MA.3.5.2","3.MA.S.5","4","WV Mathematics"
"3","Experiment and describe concepts of probability and chance and list possible outcomes from a sampling","MA.3.5.3","3.MA.S.5","4","WV Mathematics"
"3","Analyze data represented on a graph using grade level appropriate questions","MA.3.5.4","3.MA.S.5","4","WV Mathematics"
"4","Grade 4","4","WV","2",""
"4","Number and Operations ","4.MA.S.1","4","3","WV Mathematics"
"4","Read, write, order, and compare numbers to the millions place","MA.4.1.1","4.MA.S.1","4","WV Mathematics"
"4","Read, write, order, and compare decimals to thousandths with and without models and pictorial representations","MA.4.1.2","4.MA.S.1","4","WV Mathematics"
"4","Identify place value of each digit utilizing standard and expanded form through 1,000,000","MA.4.1.3","4.MA.S.1","4","WV Mathematics"
"4","Estimate to nearer 10,000 using rounding, benchmarks, and compatible numbers and identify over and under estimates to determine reasonableness of an answer","MA.4.1.4","4.MA.S.1","4","WV Mathematics"
"4","Compare and order fractions with like and unlike denominators using pictorial representations","MA.4.1.5","4.MA.S.1","4","WV Mathematics"
"4","Add and subtract fractions with like and unlike denominators using pictorial representations","MA.4.1.6","4.MA.S.1","4","WV Mathematics"
"4","Recognize and model equivalent fractions using pictorial representations","MA.4.1.7","4.MA.S.1","4","WV Mathematics"
"4","Model addition and subtraction of mixed numbers without and with regrouping","MA.4.1.8","4.MA.S.1","4","WV Mathematics"
"4","Understand the relationship of fractions to decimals using concrete objects and pictorial representations","MA.4.1.9","4.MA.S.1","4","WV Mathematics"
"4","Round decimals to the nearest whole, 10th, or 100th","MA.4.1.10","4.MA.S.1","4","WV Mathematics"
"4","Add and subtract decimals to the 1000th place","MA.4.1.11","4.MA.S.1","4","WV Mathematics"
"4","Apply the distributive property of multiplication over addition","MA.4.1.12","4.MA.S.1","4","WV Mathematics"
"4","Memorize basic multiplication facts and corresponding division facts","MA.4.1.13","4.MA.S.1","4","WV Mathematics"
"4","Multiply 2-and 3-digit numbers by 1- and 2-digit numbers","MA.4.1.14","4.MA.S.1","4","WV Mathematics"
"4","Divide 2-and 3-digit numbers by 1-and 2-digit numbers","MA.4.1.15","4.MA.S.1","4","WV Mathematics"
"4","Apply the order of operations in solving problems","MA.4.1.16","4.MA.S.1","4","WV Mathematics"
"4","Solve grade level appropriate story problems using multiple strategies","MA.4.1.17","4.MA.S.1","4","WV Mathematics"
"4","Develop fluency in addition and subtraction of all whole numbers","MA.4.1.18","4.MA.S.1","4","WV Mathematics"
"4","Algebra","4.MA.S.2","4","3","WV Mathematics"
"4","Solve problems involving patterns","MA.4.2.1","4.MA.S.2","4","WV Mathematics"
"4","Use input/output model with grade appropriate functions","MA.4.2.2","4.MA.S.2","4","WV Mathematics"
"4","Understand the relationship between number patterns and multiples","MA.4.2.3","4.MA.S.2","4","WV Mathematics"
"4","Use patterns to predict the nth term","MA.4.2.4","4.MA.S.2","4","WV Mathematics"
"4","Represent the idea of a variable as an unknown quantity using a letter","MA.4.2.5","4.MA.S.2","4","WV Mathematics"
"4","Geometry","4.MA.S.3","4","3","WV Mathematics"
"4","Identify plane figures and their components","MA.4.3.1","4.MA.S.3","4","WV Mathematics"
"4","Compare and contrast quadrilateral shapes","MA.4.3.2","4.MA.S.3","4","WV Mathematics"
"4","Describe three-dimensional objects from different perspectives","MA.4.3.3","4.MA.S.3","4","WV Mathematics"
"4","Identify and draw intersecting, parallel, and perpendicular lines","MA.4.3.4","4.MA.S.3","4","WV Mathematics"
"4","Draw, label, compare, and classify acute, right, and obtuse angles","MA.4.3.5","4.MA.S.3","4","WV Mathematics"
"4","Draw a design with one line of symmetry","MA.4.3.6","4.MA.S.3","4","WV Mathematics"
"4","Graph/plot ordered pairs on a one-quadrant grid","MA.4.3.7","4.MA.S.3","4","WV Mathematics"
"4","Draw and identify parts of a circle: center point, diameter, and radius","MA.4.3.8","4.MA.S.3","4","WV Mathematics"
"4","Measurement","4.MA.S.4","4","3","WV Mathematics"
"4","Estimate, measure, compare, order and draw lengths using customary and metric units","MA.4.4.1","4.MA.S.4","4","WV Mathematics"
"4","Determine and compare areas of rectangles and squares by multiplying length and width","MA.4.4.2","4.MA.S.4","4","WV Mathematics"
"4","Discover through modeling the formula for volume of a rectangular prism","MA.4.4.3","4.MA.S.4","4","WV Mathematics"
"4","Understand appropriate grade level conversions within a system of measure","MA.4.4.4","4.MA.S.4","4","WV Mathematics"
"4","Read scales of weight, capacity, and temperature and select appropriate unit","MA.4.4.5","4.MA.S.4","4","WV Mathematics"
"4","Read time to the minute","MA.4.4.6","4.MA.S.4","4","WV Mathematics"
"4","Determine elapsed time in hours/ minutes within a 24-hour period","MA.4.4.7","4.MA.S.4","4","WV Mathematics"
"4","Count coins and bills and determine correct change","MA.4.4.8","4.MA.S.4","4","WV Mathematics"
"4","Data Analysis and Probability","4.MA.S.5","4","3","WV Mathematics"
"4","Understand and reason about the use and misuse of statistics in our society","MA.4.5.1","4.MA.S.5","4","WV Mathematics"
"4","Read and interpret information represented on a circle graph","MA.4.5.2","4.MA.S.5","4","WV Mathematics"
"4","Collect, organize, display, read and interpret data from a problem solving situation in line graphs, bar graphs, tally charts and tables with scale increments greater than one","MA.4.5.3","4.MA.S.5","4","WV Mathematics"
"4","List all possible outcomes for an experiment using a tree diagram","MA.4.5.4","4.MA.S.5","4","WV Mathematics"
"4","Determine mean, median, mode and range from collected data","MA.4.5.5","4.MA.S.5","4","WV Mathematics"
"5","Grade 5","5","WV","2",""
"5","Number and Operations ","5.MA.S.1","5","3","WV Mathematics"
"5","Read, write, order and compare all whole numbers ","MA.5.1.1","5.MA.S.1","4","WV Mathematics"
"5","Read, write, order and compare all decimals","MA.5.1.2","5.MA.S.1","4","WV Mathematics"
"5","Identify place value of each digit utilizing standard and expanded form in any whole number","MA.5.1.3","5.MA.S.1","4","WV Mathematics"
"5","Estimate with whole numbers and decimals, including money, to determine reasonableness of an answer","MA.5.1.4","5.MA.S.1","4","WV Mathematics"
"5","Identify and use the divisibility rules of 2, 3, 5, 9 and 10","MA.5.1.5","5.MA.S.1","4","WV Mathematics"
"5","Compare and order fractions, improper fractions and mixed numbers with like and unlike denominators (eg, greatest common factor, lowest common multiple)","MA.5.1.6","5.MA.S.1","4","WV Mathematics"
"5","Model and write equivalencies of fractions, decimals, percents, and ratios","MA.5.1.7","5.MA.S.1","4","WV Mathematics"
"5","Add and subtract fractions and mixed numbers","MA.5.1.8","5.MA.S.1","4","WV Mathematics"
"5","Model multiplication and division of fractions to solve the algorithm","MA.5.1.9","5.MA.S.1","4","WV Mathematics"
"5","Model multiplication of decimals and division of decimals by a whole number divisor","MA.5.1.10","5.MA.S.1","4","WV Mathematics"
"5","Develop fluency in addition, subtraction, multiplication and division of whole numbers","MA.5.1.11","5.MA.S.1","4","WV Mathematics"
"5","Solve grade level appropriate story problems using multiple strategies","MA.5.1.12","5.MA.S.1","4","WV Mathematics"
"5","Algebra","5.MA.S.2","5","3","WV Mathematics"
"5","Explore a variety of patterns with missing elements (eg, square numbers, powers, triangular numbers, arithmetic sequences)","MA.5.2.1","5.MA.S.2","4","WV Mathematics"
"5","Use input/output model with grade appropriate functions","MA.5.2.2","5.MA.S.2","4","WV Mathematics"
"5","Write an equation using a variable to solve problems","MA.5.2.3","5.MA.S.2","4","WV Mathematics"
"5","Evaluate an expression given a value for the variable","MA.5.2.4","5.MA.S.2","4","WV Mathematics"
"5","Geometry","5.MA.S.3","5","3","WV Mathematics"
"5","Classify and compare polygons","MA.5.3.1","5.MA.S.3","4","WV Mathematics"
"5","Construct a 3-dimensional figure from different views (orthogonal drawings)","MA.5.3.2","5.MA.S.3","4","WV Mathematics"
"5","Measure angles using a protractor","MA.5.3.3","5.MA.S.3","4","WV Mathematics"
"5","Draw a design with more than one line of symmetry","MA.5.3.4","5.MA.S.3","4","WV Mathematics"
"5","Recognize the images of figures after reflections, translations and rotations","MA.5.3.5","5.MA.S.3","4","WV Mathematics"
"5","Draw a similar figure using a scale","MA.5.3.6","5.MA.S.3","4","WV Mathematics"
"5","Measurement","5.MA.S.4","5","3","WV Mathematics"
"5","Estimate, measure, compare, order and draw lengths of real objects in parts of an inch up to 1/8 of an inch and millimeters","MA.5.4.1","5.MA.S.4","4","WV Mathematics"
"5","Determine and compare area of triangles and parallelograms using appropriate formula","MA.5.4.2","5.MA.S.4","4","WV Mathematics"
"5","Solve problems using the formulas for determining volume of a rectangular prism","MA.5.4.3","5.MA.S.4","4","WV Mathematics"
"5","Understand the relationship between area and perimeter of a plane figure","MA.5.4.4","5.MA.S.4","4","WV Mathematics"
"5","Understand appropriate grade level conversions within a system of measure and apply to problem solving situations","MA.5.4.5","5.MA.S.4","4","WV Mathematics"
"5","Evaluate and/or measure the weight/mass of real objects in ounces, pounds, tons, grams, and kilograms","MA.5.4.6","5.MA.S.4","4","WV Mathematics"
"5","Calculate elapsed time","MA.5.4.7","5.MA.S.4","4","WV Mathematics"
"5","Select appropriate customary and metric units and the tools for measuring to desired degree of precision","MA.5.4.8","5.MA.S.4","4","WV Mathematics"
"5","Determine actual measurement from scale drawings","MA.5.4.9","5.MA.S.4","4","WV Mathematics"
"5","Data Analysis and Probability","5.MA.S.5","5","3","WV Mathematics"
"5","Collect, organize, display, read and interpret data from a problem-solving situation in a stem and leaf plot","MA.5.5.1","5.MA.S.5","4","WV Mathematics"
"5","Identify probabilities and solve problems involving the probability of an event by using tree diagrams or by construction of a sample space representing all possible results","MA.5.5.2","5.MA.S.5","4","WV Mathematics"
"5","Construct, read, and interpret tables, charts, and graphs to draw reasonable inferences or verify predictions","MA.5.5.3","5.MA.S.5","4","WV Mathematics"
"5","Carry out experiments to determine probability","MA.5.5.4","5.MA.S.5","4","WV Mathematics"
"5","Construct a circle graph","MA.5.5.5","5.MA.S.5","4","WV Mathematics"
"6","Grade 6","6","WV","2",""
"6","Number and Operations ","6.MA.S.1","6","3","WV Mathematics"
"6","Read, write, order, and compare numbers using scientific notation","MA.6.1.1","6.MA.S.1","4","WV Mathematics"
"6","Identify prime and composite numbers up to 100","MA.6.1.2","6.MA.S.1","4","WV Mathematics"
"6","Use prime factorization to determine the greatest common factor and least common multiple","MA.6.1.3","6.MA.S.1","4","WV Mathematics"
"6","Identify and represent integers on a number line","MA.6.1.4","6.MA.S.1","4","WV Mathematics"
"6","Use estimation to solve problems with whole numbers, fractions and decimals","MA.6.1.5","6.MA.S.1","4","WV Mathematics"
"6","Solve problems in context involving addition, subtraction, multiplication, and division of whole numbers, fractions, mixed numbers and decimals","MA.6.1.6","6.MA.S.1","4","WV Mathematics"
"6","Identify, demonstrate, and apply the distributive, commutative, associative and identity properties","MA.6.1.7","6.MA.S.1","4","WV Mathematics"
"6","Convert between fractions, mixed numbers, decimals and percents","MA.6.1.8","6.MA.S.1","4","WV Mathematics"
"6","Find the percent of a number","MA.6.1.9","6.MA.S.1","4","WV Mathematics"
"6","Algebra","6.MA.S.2","6","3","WV Mathematics"
"6","Simplify numerical expressions using order of operations","MA.6.2.1","6.MA.S.2","4","WV Mathematics"
"6","Identify missing elements in arithmetic and geometric patterns","MA.6.2.2","6.MA.S.2","4","WV Mathematics"
"6","Explore a variety of patterns, including perfect squares, square roots and exponents","MA.6.2.3","6.MA.S.2","4","WV Mathematics"
"6","Use input/output models and spreadsheets to evaluate functions","MA.6.2.4","6.MA.S.2","4","WV Mathematics"
"6","Solve a proportion using cross multiplication","MA.6.2.5","6.MA.S.2","4","WV Mathematics"
"6","Identify like terms and monomials","MA.6.2.6","6.MA.S.2","4","WV Mathematics"
"6","Model addition, subtraction, multiplication and division of integers","MA.6.2.7","6.MA.S.2","4","WV Mathematics"
"6","Locate and plot points within the four quadrants","MA.6.2.8","6.MA.S.2","4","WV Mathematics"
"6","Use variables to represent and solve real world problems appropriate for the 6th grade using multiple strategies","MA.6.2.9","6.MA.S.2","4","WV Mathematics"
"6","Geometry","6.MA.S.3","6","3","WV Mathematics"
"6","Classify lines as parallel, intersecting, perpendicular or skew","MA.6.3.1","6.MA.S.3","4","WV Mathematics"
"6","Determine the sum of measures of angles in polygons","MA.6.3.2","6.MA.S.3","4","WV Mathematics"
"6","Bisect a line segment using a compass and straightedge","MA.6.3.3","6.MA.S.3","4","WV Mathematics"
"6","Draw an angle of a given measure","MA.6.3.4","6.MA.S.3","4","WV Mathematics"
"6","Identify line symmetry and rotational symmetry in plane figures","MA.6.3.5","6.MA.S.3","4","WV Mathematics"
"6","Define and sketch similar and congruent plane geometric figures","MA.6.3.6","6.MA.S.3","4","WV Mathematics"
"6","Measurement","6.MA.S.4","6","3","WV Mathematics"
"6","Derive approximation for pi using actual measurements","MA.6.4.1","6.MA.S.4","4","WV Mathematics"
"6","Apply formulas to determine perimeter, circumference and/or area of plane figures including compound figures ","MA.6.4.2","6.MA.S.4","4","WV Mathematics"
"6","Understand the appropriate grade level conversions","MA.6.4.3","6.MA.S.4","4","WV Mathematics"
"6","Investigate and model volume and surface area","MA.6.4.4","6.MA.S.4","4","WV Mathematics"
"6","Select appropriate units and determine length, weight/mass and capacity/volume using metric and customary systems","MA.6.4.5","6.MA.S.4","4","WV Mathematics"
"6","Construct scale drawings","MA.6.4.6","6.MA.S.4","4","WV Mathematics"
"6","Data Analysis and Probability","6.MA.S.5","6","3","WV Mathematics"
"6","Collect, organize, display, and read data using appropriate graphs and tables","MA.6.5.1","6.MA.S.5","4","WV Mathematics"
"6","Interpret data using mean, median, mode, and range","MA.6.5.2","6.MA.S.5","4","WV Mathematics"
"6","Determine the probability of a given event and express that probability as a ratio, decimal or percent","MA.6.5.3","6.MA.S.5","4","WV Mathematics"
"6","Determine combinations, permutations and probability using sample spaces (by listing and tree diagrams)","MA.6.5.4","6.MA.S.5","4","WV Mathematics"
"7","Grade 7","7","WV","2",""
"7","Number and Operations ","7.MA.S.1","7","3","WV Mathematics"
"7","Compare and order integers, decimals, and fractions using symbols (<,>,=) manipulatives and graphing on a number line","MA.7.1.1","7.MA.S.1","4","WV Mathematics"
"7","Find powers, squares, and square roots using manipulatives, models, calculators, tables and mental math","MA.7.1.2","7.MA.S.1","4","WV Mathematics"
"7","Define absolute value and determine its effect on a number or expression","MA.7.1.3","7.MA.S.1","4","WV Mathematics"
"7","Recognize and write rational numbers in the form a/b","MA.7.1.4","7.MA.S.1","4","WV Mathematics"
"7","Perform operations with integers (eg, addition, subtraction, multiplication, division)","MA.7.1.5","7.MA.S.1","4","WV Mathematics"
"7","Apply the commutative, associative, distributive, identity and inverse properties","MA.7.1.6","7.MA.S.1","4","WV Mathematics"
"7","Solve application problems with whole numbers, decimals, fractions and percents","MA.7.1.7","7.MA.S.1","4","WV Mathematics"
"7","Use appropriate estimation strategies in problem situations including evaluating the reasonableness of a solution","MA.7.1.8","7.MA.S.1","4","WV Mathematics"
"7","Algebra","7.MA.S.2","7","3","WV Mathematics"
"7","Find missing elements in a variety of arithmetic and geometric patterns including algebraic sequences and series","MA.7.2.1","7.MA.S.2","4","WV Mathematics"
"7","Simplify and evaluate numerical and algebraic expressions with whole numbers, integers, absolute value and exponents using the order of operations and exponential rules","MA.7.2.2","7.MA.S.2","4","WV Mathematics"
"7","Add, subtract, multiply and divide monomials with no more than two variables and no exponent greater than two","MA.7.2.3","7.MA.S.2","4","WV Mathematics"
"7","Find and use the greatest common factor (gcf) and least common multiple (lcm) of a set of monomials or algebraic fractions using prime factorization and exponent rules","MA.7.2.4","7.MA.S.2","4","WV Mathematics"
"7","Input data into a spreadsheet to create input/output function tables","MA.7.2.5","7.MA.S.2","4","WV Mathematics"
"7","Use ratios and proportions to represent and solve application problems","MA.7.2.6","7.MA.S.2","4","WV Mathematics"
"7","Write and evaluate complex algebraic expressions for word phrases","MA.7.2.7","7.MA.S.2","4","WV Mathematics"
"7","Use and apply scientific notation containing positive and negative exponents","MA.7.2.8","7.MA.S.2","4","WV Mathematics"
"7","Solve one-step linear equations containing whole numbers, fractions, decimals and integers with integer solutions","MA.7.2.9","7.MA.S.2","4","WV Mathematics"
"7","Solve basic inequalities using inverse operations and graph solutions","MA.7.2.10","7.MA.S.2","4","WV Mathematics"
"7","Plot lines within the cartesian coordinate plane from a table of values","MA.7.2.11","7.MA.S.2","4","WV Mathematics"
"7","Determine the slope of a line from its graphical representation","MA.7.2.12","7.MA.S.2","4","WV Mathematics"
"7","Represent and solve real world problems appropriate for 7th grade using multiple strategies","MA.7.2.13","7.MA.S.2","4","WV Mathematics"
"7","Geometry","7.MA.S.3","7","3","WV Mathematics"
"7","Identify and construct angle-pairs (eg, adjacent, complementary, supplementary, vertical)","MA.7.3.1","7.MA.S.3","4","WV Mathematics"
"7","Use a formula to determine the sum of the measures of the interior angles of a polygon","MA.7.3.2","7.MA.S.3","4","WV Mathematics"
"7","Use 2-dimensional representations of 3-dimensional objects to visualize and solve problems","MA.7.3.3","7.MA.S.3","4","WV Mathematics"
"7","Identify and construct congruent segments and angles, perpendicular bisectors of segments and angle-bisectors","MA.7.3.4","7.MA.S.3","4","WV Mathematics"
"7","Apply and demonstrate line symmetry","MA.7.3.5","7.MA.S.3","4","WV Mathematics"
"7","Apply transformations (rotations, reflections, translations) to plane figures using graph paper","MA.7.3.6","7.MA.S.3","4","WV Mathematics"
"7","Solve ratio and proportion problems including scale drawings and similar polygons","MA.7.3.7","7.MA.S.3","4","WV Mathematics"
"7","Measurement","7.MA.S.4","7","3","WV Mathematics"
"7","Use and apply formulas in problem solving situations involving perimeter, circumference, area, surface area, distance and temperature (celsius, fahrenheit)","MA.7.4.1","7.MA.S.4","4","WV Mathematics"
"7","Use the concept of volume for prisms, pyramids, and cylinders as the relationship between the area of the base and height","MA.7.4.2","7.MA.S.4","4","WV Mathematics"
"7","Use the pythagorean theorem to find the length of any side of a right triangle","MA.7.4.3","7.MA.S.4","4","WV Mathematics"
"7","Convert units of measurement within and between customary and metric systems","MA.7.4.4","7.MA.S.4","4","WV Mathematics"
"7","Data Analysis and Probability","7.MA.S.5","7","3","WV Mathematics"
"7","Determine experimental and theoretical probability of an event using appropriate technology","MA.7.5.1","7.MA.S.5","4","WV Mathematics"
"7","Construct sample spaces by listing, tree diagrams, and frequency distribution tables to determine combinations and permutations","MA.7.5.2","7.MA.S.5","4","WV Mathematics"
"7","Collect, organize, graphically represent, and interpret data displays including:  frequency distributions, line-plots, scatter plots, box and whiskers, and multiple-line graphs","MA.7.5.3","7.MA.S.5","4","WV Mathematics"
"7","Solve application problems involving measures of central tendency (mean, median, mode) and dispersion (range) from data, graphs, tables, and experiments using appropriate technology","MA.7.5.4","7.MA.S.5","4","WV Mathematics"
"8","Grade 8","8","WV","2",""
"8","Number and Operations ","8.MA.S.1","8","3","WV Mathematics"
"8","Compare and order rational and irrational numbers ","MA.8.1.1","8.MA.S.1","4","WV Mathematics"
"8","Utilize the properties of terminating, repeating, and non-repeating decimals, and conversions between fractions, mixed numbers, and decimals","MA.8.1.2","8.MA.S.1","4","WV Mathematics"
"8","Extend scientific notation to numbers with a wide range of values using a calculator when appropriate","MA.8.1.3","8.MA.S.1","4","WV Mathematics"
"8","Use powers, squares, and square roots to solve problems","MA.8.1.4","8.MA.S.1","4","WV Mathematics"
"8","Use estimation techniques with whole numbers, decimals, percent, fractions and mixed numbers to solve and verify solutions in application problems","MA.8.1.5","8.MA.S.1","4","WV Mathematics"
"8","Solve application problems with whole numbers, decimals, fractions, percents and integers including, but not limited to, rates, tips, discounts, sales tax and interest","MA.8.1.6","8.MA.S.1","4","WV Mathematics"
"8","Develop computational strategies based on the commutative, associative, and identity properties with emphasis on the inverse and distributive properties","MA.8.1.7","8.MA.S.1","4","WV Mathematics"
"8","Algebra","8.MA.S.2","8","3","WV Mathematics"
"8","Use order-of-operations and exponents rules to solve problems with numerical and algebraic expressions containing whole numbers, integers, absolute value, fractions and exponents","MA.8.2.1","8.MA.S.2","4","WV Mathematics"
"8","Solve one and two step linear equations and inequalities with integers, fractions, and decimal    solutions","MA.8.2.2","8.MA.S.2","4","WV Mathematics"
"8","Use ratio and proportion to create and solve equations","MA.8.2.3","8.MA.S.2","4","WV Mathematics"
"8","Add and subtract polynomials limited to two variables and positive exponents","MA.8.2.4","8.MA.S.2","4","WV Mathematics"
"8","Apply algebraic equations and expressions to solve application problems","MA.8.2.5","8.MA.S.2","4","WV Mathematics"
"8","Apply inductive and deductive reasoning to write a rule from data in a function table","MA.8.2.6","8.MA.S.2","4","WV Mathematics"
"8","Graph linear equations and inequalities within the cartesian coordinate plane using ordered pairs table of values and appropriate technology","MA.8.2.7","8.MA.S.2","4","WV Mathematics"
"8","Formulate and apply a rule to generate an arithmetic, geometric and algebraic pattern","MA.8.2.8","8.MA.S.2","4","WV Mathematics"
"8","Determine the slope of a line given two-points or slope/y?intercept equation (y=mx+b)","MA.8.2.9","8.MA.S.2","4","WV Mathematics"
"8","Represent and solve real world problems appropriate for 8th grade using multiple strategies","MA.8.2.10","8.MA.S.2","4","WV Mathematics"
"8","Geometry","8.MA.S.3","8","3","WV Mathematics"
"8","Investigate the relationship between corresponding, alternate interior, and alternate exterior angles when parallel lines are cut by a transversal using models, pencil/paper and graphing calculator","MA.8.3.1","8.MA.S.3","4","WV Mathematics"
"8","Classify polyhedrons according to the number and shape of faces; determine the relationship between vertices, faces and edges","MA.8.3.2","8.MA.S.3","4","WV Mathematics"
"8","Identify, apply, and construct perpendicular and angle bisectors","MA.8.3.3","8.MA.S.3","4","WV Mathematics"
"8","Create geometric patterns including tiling, art design, tessellations and scaling using transformations (rotations, reflections, translations)","MA.8.3.4","8.MA.S.3","4","WV Mathematics"
"8","Use coordinate geometry to represent and examine properties of similar and congruent figures and graph transformations","MA.8.3.5","8.MA.S.3","4","WV Mathematics"
"8","Create scale models including ratio, proportion and similar figures using pencil/paper and dynamic geometry software","MA.8.3.6","8.MA.S.3","4","WV Mathematics"
"8","Measurement","8.MA.S.4","8","3","WV Mathematics"
"8","Estimate and solve application problems involving perimeter, area, surface area and volume of plane and solid geometric figures","MA.8.4.1","8.MA.S.4","4","WV Mathematics"
"8","Use the concept of volume for cone and pyramids as one-third the product of the area of the base and the height","MA.8.4.2","8.MA.S.4","4","WV Mathematics"
"8","Solve problems involving missing measurements in plane and solid geometric figures using formulas and drawings including irregular figures, models or definitions","MA.8.4.3","8.MA.S.4","4","WV Mathematics"
"8","Solve right triangle problems using the pythagorean theorem, indirect measurement and definitions","MA.8.4.4","8.MA.S.4","4","WV Mathematics"
"8","Data Analysis and Probability","8.MA.S.5","8","3","WV Mathematics"
"8","Use appropriate technology to solve application problems involving combinations and permutations","MA.8.5.1","8.MA.S.5","4","WV Mathematics"
"8","Investigate the experimental and theoretical probability, including compound probability of an event","MA.8.5.2","8.MA.S.5","4","WV Mathematics"
