"","Colorado Standards","CO","0","1","CO"
"2","4.4.2 Investigate, Predict Patterns Using Triangle","SI3Q4A13","QBZUO3JB","6","CO Mathematics"
"2","4.4.3 Use Line of Symmetry to Predict Pattern","10DCEYXO","QBZUO3JB","6","CO Mathematics"
"2","St. 5 Tools and Techniques to Problem Solve","CST16DCX","2M","4","CO Mathematics"
"2","5.1 Knowing and Estimating Measures","AMBNXELH","CST16DCX","5","CO Mathematics"
"2","5.1.1 Tell Time to Nearest Fifteen Minutes","6SB2VXCR","AMBNXELH","6","CO Mathematics"
"2","5.1.2 AM and PM","BHCQKVL1","AMBNXELH","6","CO Mathematics"
"2","5.1.3 Estimate, Measure Length of Objects","ZBHN8Z4C","AMBNXELH","6","CO Mathematics"
"2","5.1.4 Estimate, Measure Perimeter","CW2MWH72","AMBNXELH","6","CO Mathematics"
"2","5.1.5 Estimate, Measure Capacity","6ZBIAHNQ","AMBNXELH","6","CO Mathematics"
"2","5.1.6 Estimate, Weigh Object","2KFCQWP3","AMBNXELH","6","CO Mathematics"
"2","5.1.7 Estimate, Measure Temperature","9V4I7X00","AMBNXELH","6","CO Mathematics"
"2","5.1.8 Describe Units of Measurement","AIN3MK81","AMBNXELH","6","CO Mathematics"
"2","5.1.9 Knowing Basic Quantities","NCLBD2AE","AMBNXELH","6","CO Mathematics"
"2","5.2 Compare, Order Objects by Measurement","ON2BDCZM","CST16DCX","5","CO Mathematics"
"2","5.2.1 Compare, Order Objects by Measurement","ZL5G4DS9","ON2BDCZM","6","CO Mathematics"
"2","5.2.2 Order Objects","HBXC6LLY","ON2BDCZM","6","CO Mathematics"
"2","5.2.3 Compare, Order Various Times","OO8FJXF6","ON2BDCZM","6","CO Mathematics"
"2","5.4 Approximate Measures","ARCPBOAU","CST16DCX","5","CO Mathematics"
"2","5.4.1 Familiar Objects as Reference","DCR2CI2W","ARCPBOAU","6","CO Mathematics"
"2","5.5 Solve Problems Using Appropriate Units","VNIOJ4HM","CST16DCX","5","CO Mathematics"
"2","5.5.1 Select Appropriate Units","CAA9BV0W","VNIOJ4HM","6","CO Mathematics"
"2","St. 6 Link Concepts and Procedures","7CCJHHOX","2M","4","CO Mathematics"
"2","6.1 Four Basic Arithmetic Operations","IAOVBP49","7CCJHHOX","5","CO Mathematics"
"2","6.1.1 Addition of Whole Numbers","O4DDKA03","IAOVBP49","6","CO Mathematics"
"2","6.1.2 Subtraction of Whole Numbers","FODEI0ZZ","IAOVBP49","6","CO Mathematics"
"2","6.1.3 Multiplication of Whole Numbers","ZVKESQNU","IAOVBP49","6","CO Mathematics"
"2","6.1.4 Division of Whole Numbers","IHY1C7CS","IAOVBP49","6","CO Mathematics"
"2","6.1.5 Inverse Relationship of Addition-Subtraction","QY8C48JS","IAOVBP49","6","CO Mathematics"
"2","6.1.6 Multiplication as Repeated Addition","KW2USEXL","IAOVBP49","6","CO Mathematics"
"2","6.2 Add, Subtract Fractions, Decimals","T8YY0SSC","7CCJHHOX","5","CO Mathematics"
"2","6.2.1 Add, Subtract Halves, Thirds, Fourths","2LAP279L","T8YY0SSC","6","CO Mathematics"
"2","6.2.2 Total Value of Coins","CIC4WXO3","T8YY0SSC","6","CO Mathematics"
"2","6.3  Basic Four Functions","DR5WNNOV","7CCJHHOX","5","CO Mathematics"
"2","6.3.1 Basic Addition, Subtraction Facts","EJRAPEFJ","DR5WNNOV","6","CO Mathematics"
"2","6.3.2 Auto Recall of Addition, Subtraction Facts","FQH02BO9","DR5WNNOV","6","CO Mathematics"
"2","6.3.3 Locate All Addends for Particular Sum","AWNYSCR8","DR5WNNOV","6","CO Mathematics"
"2","6.4 Compute, Estimate Whole Numbers","OC2PUJEH","7CCJHHOX","5","CO Mathematics"
"2","6.4.1 Rounding","IHTC52GQ","OC2PUJEH","6","CO Mathematics"
"2","6.4.2 Addition Without Regrouping","6QBPGIPJ","OC2PUJEH","6","CO Mathematics"
"2","6.4.3 Subtraction Without Regrouping","1N9MOO7H","OC2PUJEH","6","CO Mathematics"
"2","6.5 Problem Solving With Whole Numbers","60AQZVN0","7CCJHHOX","5","CO Mathematics"
"2","6.5.1 Appropriate Methods","C1AWSC47","60AQZVN0","6","CO Mathematics"
"2","6.5.2 Acceptability of Estimate or Exact Sum","BQZXQBB7","60AQZVN0","6","CO Mathematics"
"3","Grade 3","ONV3QGSC","CO","2","CO"
"3","Reading","RXY2HVAY","ONV3QGSC","3","CO Reading"
"3","St. 1 Read,understand variety materials","6QS9L2Q5","RXY2HVAY","4","CO Reading"
"3","1.1 Use comprehension strategies","I8YL4FYY","6QS9L2Q5","5","CO Reading"
"3","1.2 Summarize text passages","UKUQHNUQ","6QS9L2Q5","5","CO Reading"
"3","1.3 Find main idea,support details","2UBWZ1X3","6QS9L2Q5","5","CO Reading"
"3","1.4 Make inferences","ZWQQLB79","6QS9L2Q5","5","CO Reading"
"3","1.5 Identify sequence","TCMC9MTX","6QS9L2Q5","5","CO Reading"
"3","1.6 Organize text","X81B9324","6QS9L2Q5","5","CO Reading"
"3","1.7 Use word recognition skills","AH3A8ZBV","6QS9L2Q5","5","CO Reading"
"3","Writing","IB09X8X7","ONV3QGSC","3","CO Writing"
"3","St. 2 Write for variety purposes,audiences","CM2ICG9G","IB09X8X7","4","CO Writing"
"3","2.1 Write in variety of modes-narratives,letters","EFZRKCA0","CM2ICG9G","5","CO Writing"
"3","2.2 Organize writing","BH9GDP1M","CM2ICG9G","5","CO Writing"
"3","2.3 Use appropriate word choice","BYIS68QA","CM2ICG9G","5","CO Writing"
"3","2.4 Create a legible document","U9CO4WCE","CM2ICG9G","5","CO Writing"
"3","St. 3 Write using conventional grammar,usage...","584RA53A","IB09X8X7","4","CO Writing"
"3","3.1 Use correct grammar","6MLMBG19","584RA53A","5","CO Writing"
"3","3.2 Write complete sentences","L04TOTOI","584RA53A","5","CO Writing"
"3","3.3 Use appropriate capitalization","5NJ3GU05","584RA53A","5","CO Writing"
"3","3.4 Use correct end punctuation","BGNEFCKS","584RA53A","5","CO Writing"
"3","3.5 Use correct age appropriate spelling","ONQJ76Z3","584RA53A","5","CO Writing"
"3","Mathematics","AJFJEKAA","ONV3QGSC","3","CO Mathematics"
"3","St. 1 Number Sense","QEUENC9C","AJFJEKAA","4","CO Mathematics"
"3","1.1  Whole numbers, fractions, decimals","6B3T1QXO","QEUENC9C","5","CO Mathematics"
"3","1.2 Read,write whole numbers; place value","N7I25GVA","QEUENC9C","5","CO Mathematics"
"3","1.3 Use numbers to count,measure,label,locate","PNGZOOCQ","QEUENC9C","5","CO Mathematics"
"3","1.4 Develop,test,explain conjectures","9GEAT7AA","QEUENC9C","5","CO Mathematics"
"3","1.5 Estimate,justify reasonableness of solutions","8PJ0EATF","QEUENC9C","5","CO Mathematics"
"3","St. 2 Algebraic Patterns & Functions","LT1SLG2K","AJFJEKAA","4","CO Mathematics"
"3","2.1 Patterns, sequences","N66WDICO","LT1SLG2K","5","CO Mathematics"
"3","2.2 Describe patterns","SEERZGYA","LT1SLG2K","5","CO Mathematics"
"3","2.3 Recognize patterns to solve problems","V29LPEHS","LT1SLG2K","5","CO Mathematics"
"3","2.4 Observe,exchange variables in relationships","HYG640VU","LT1SLG2K","5","CO Mathematics"
"3","St. 3 Data Analysis, Statistics, Probability","BBSSSZIL","AJFJEKAA","4","CO Mathematics"
"3","3.1 Create,read,interpret data displays","HXKTNTC1","BBSSSZIL","5","CO Mathematics"
"3","3.2 Interpret data","I8U4F170","BBSSSZIL","5","CO Mathematics"
"3","3.3 Make,analyze predictions based on data","7VCGIRAI","BBSSSZIL","5","CO Mathematics"
"3","3.4 Solve problems using combination strategies","82QXLQE3","BBSSSZIL","5","CO Mathematics"
"3","St. 4 Geometry","915BAJ0J","AJFJEKAA","4","CO Mathematics"
"3","4.1 Recognize shapes, relationships","F6G9MNA3","915BAJ0J","5","CO Mathematics"
"3","4.2 Geometric figures","RB1OA40T","915BAJ0J","5","CO Mathematics"
"3","4.3 Relate geometry to measurement","AAYCQE05","915BAJ0J","5","CO Mathematics"
"3","4.4 Solve problems using spatial reasoning","P0HIBK85","915BAJ0J","5","CO Mathematics"
"3","St. 5 Measurement","T3BH2VZJ","AJFJEKAA","4","CO Mathematics"
"3","5.1 Know,use units of measurement","YAWX8RVU","T3BH2VZJ","5","CO Mathematics"
"3","5.2 Compare,order objects using measurement","U7ABA8EU","T3BH2VZJ","5","CO Mathematics"
"3","5.3 Demonstrate,explain units measurement concepts","6S06Y9B7","T3BH2VZJ","5","CO Mathematics"
"3","5.4 Use familiar objects to estimate measurement","B3Q4CJLB","T3BH2VZJ","5","CO Mathematics"
"3","5.5 Select, use appropriate units of measurement","SGLWR7B7","T3BH2VZJ","5","CO Mathematics"
"3","St. 6 Operational Concepts & Computation","GADI0Q56","AJFJEKAA","4","CO Mathematics"
"3","6.1 Demonstrate concepts of operations","3U6VUYOV","GADI0Q56","5","CO Mathematics"
"3","6.2 Add,subtract fractions, decimals","9BQVCZJ4","GADI0Q56","5","CO Mathematics"
"3","6.3 Demonstrate, use math facts","N3HX02KV","GADI0Q56","5","CO Mathematics"
"3","6.4 Estimate, compute using whole numbers","9HPCPITG","GADI0Q56","5","CO Mathematics"
"3","6.5 Use appropriate methods to solve problems","G5WTAV9G","GADI0Q56","5","CO Mathematics"
"4","Grade 4","3AEOCJHB","CO","2","CO"
"4","Reading","C7TDQNLC","3AEOCJHB","3","CO Reading"
"4","St. 1 Read,understand variety materials","SA0IT09S","C7TDQNLC","4","CO Reading"
"4","1.1 Use comprehension strategies","1V7D22Z5","SA0IT09S","5","CO Reading"
"4","1.2 Summarize text passages","CJ0LC78U","SA0IT09S","5","CO Reading"
"4","1.3 Find main idea,support details","Y07B1BLH","SA0IT09S","5","CO Reading"
"4","1.4 Make inferences","KA74CSYL","SA0IT09S","5","CO Reading"
"4","1.5 Identify sequence","BZYZZNN4","SA0IT09S","5","CO Reading"
"4","1.6 Set purpose for reading","ZGXZRGD6","SA0IT09S","5","CO Reading"
"4","1.7 Use textual elements to comprehend","FBW2B6Q6","SA0IT09S","5","CO Reading"
"4","St. 4 Apply thinking skills","VAAUHCK5","C7TDQNLC","4","CO Reading"
"4","4.1 Determine author's purpose","A6BQEB7N","VAAUHCK5","5","CO Reading"
"4","4.2 Define,solve problems","BPWAH5YF","VAAUHCK5","5","CO Reading"
"4","4.3 Differentiate fact,opinion","BESQ7T3N","VAAUHCK5","5","CO Reading"
"4","4.4 Make predictions,draw conclusions","ACBDHAJ2","VAAUHCK5","5","CO Reading"
"4","4.5 Recognize author's point of view","H3ODW2KT","VAAUHCK5","5","CO Reading"
"4","St. 5 Read for relevant information in references","M8K8KBEW","C7TDQNLC","4","CO Reading"
"4","5.1 Use organizational features of text","W1K2MD72","M8K8KBEW","5","CO Reading"
"4","5.2 Recognize electronic org features","Y4H0UHKE","M8K8KBEW","5","CO Reading"
"4","5.3 Take notes,outline,identify main idea","0CBVYVPN","M8K8KBEW","5","CO Reading"
"4","5.4 Sort information for topic,purpose","3C9FE4KA","M8K8KBEW","5","CO Reading"
"4","5.5 Credit information sources","IGOMGUOQ","M8K8KBEW","5","CO Reading"
"4","5.6 Select appropriate definitions","9XCDIUEM","M8K8KBEW","5","CO Reading"
"4","St. 6 Read,recognize literature as human exper.","6Q60RKEZ","C7TDQNLC","4","CO Reading"
"4","6.1 Read,respond to variety of literature","6TOAFOKP","6Q60RKEZ","5","CO Reading"
"4","6.2 Identify literary elements (setting, plot, etc","VQCBVTFO","6Q60RKEZ","5","CO Reading"
"4","6.3 Use new vocabulary in another context","KLARTB41","6Q60RKEZ","5","CO Reading"
"4","6.4 Compare author,cultural background","GYZG2YMX","6Q60RKEZ","5","CO Reading"
"4","Writing","9PS8QV5G","3AEOCJHB","3","CO Writing"
"4","St. 2 Write for variety purposes, audiences","TUVI313Q","9PS8QV5G","4","CO Writing"
"4","2.1 Generate topics,develop ideas","52LBPHZK","TUVI313Q","5","CO Writing"
"4","2.2 Organize writing","VHSV2WHA","TUVI313Q","5","CO Writing"
"4","2.3 Use precise vocabulary","2W9TW340","TUVI313Q","5","CO Writing"
"4","2.4 Revise, edit writing","V1QWWPAH","TUVI313Q","5","CO Writing"
"4","2.5 Create readable documents","8U3YZ4VJ","TUVI313Q","5","CO Writing"
"4","St. 3 Write using proper conventions","C7ILO1Z2","9PS8QV5G","4","CO Writing"
"4","3.1 Know,use correct subj,verb agreement","4BKWSX1C","C7ILO1Z2","5","CO Writing"
"4","3.2 Know,use correct modifiers","J6ME3YVD","C7ILO1Z2","5","CO Writing"
"4","3.3 Know,use correct mechanics","6JYXTC53","C7ILO1Z2","5","CO Writing"
"4","3.4 Use rules to spell frequently used words","D3ORN8FV","C7ILO1Z2","5","CO Writing"
"4","Mathematics","CEPXAUJ9","3AEOCJHB","3","CO Mathematics"
"4","St. 1 Number Sense","BKCYHB7U","CEPXAUJ9","4","CO Mathematics"
"4","1.1 Whole numbers, Fractions, Decimals","KBJDE9AD","BKCYHB7U","5","CO Mathematics"
"4","1.2 Read,write whole numbers;place value","PCWH0JKD","BKCYHB7U","5","CO Mathematics"
"4","1.3 Use numbers to count, measure, label, locate","BVMXC2BV","BKCYHB7U","5","CO Mathematics"
"4","1.4 Develop,test,explain conjectures","GRQJJNRC","BKCYHB7U","5","CO Mathematics"
"4","1.5 Estimate,justify reasonableness of solutions","SE0W6G20","BKCYHB7U","5","CO Mathematics"
"4","St. 2 Algebra, Patterns & Functions","12UT5327","CEPXAUJ9","4","CO Mathematics"
"4","2.1 Patterns, sequences","CUHIDFVK","12UT5327","5","CO Mathematics"
"4","2.2 Describe patterns","T09AAC85","12UT5327","5","CO Mathematics"
"4","2.3 Recognize patterns to solve problems","VNBTHCS6","12UT5327","5","CO Mathematics"
"4","2.4 Observe, exchange variables in relationships","AEPPIVP3","12UT5327","5","CO Mathematics"
"4","St. 3 Data Analysis, Statistics, Probability","FYCBMMAB","CEPXAUJ9","4","CO Mathematics"
"4","3.1 Create, read, interpret data displays","XP8NDSN1","FYCBMMAB","5","CO Mathematics"
"4","3.2 Interpret data","ZLRHCY46","FYCBMMAB","5","CO Mathematics"
"4","3.3 Make,analyze predictions based on data","BQIJ2B93","FYCBMMAB","5","CO Mathematics"
"4","3.4 Solve problems using combination strategies","BPLJZQBC","FYCBMMAB","5","CO Mathematics"
"4","St. 4 Geometry","8WRVE20S","CEPXAUJ9","4","CO Mathematics"
"4","4.1 Recognize shapes, relationships","YXVPWU1K","8WRVE20S","5","CO Mathematics"
"4","4.2 Geometric figures","NDRR4R08","8WRVE20S","5","CO Mathematics"
"4","4.3 Relate geometry to measurement","H78LBDJJ","8WRVE20S","5","CO Mathematics"
"4","4.4 Solve problems using spatial reasoning","1HUSVYDA","8WRVE20S","5","CO Mathematics"
"4","St. 5 Measurement","VHZA7KOL","CEPXAUJ9","4","CO Mathematics"
"4","5.1 Know,use units of measurement","VBF4A796","VHZA7KOL","5","CO Mathematics"
"4","5.2 Compare,order objects using measurement","I79EPPGU","VHZA7KOL","5","CO Mathematics"
"4","5.3 Demonstrate,explain units measurement concepts","WUIBAWXS","VHZA7KOL","5","CO Mathematics"
"4","5.4 Use familiar objects to estimate measurement","U643GNEB","VHZA7KOL","5","CO Mathematics"
"4","5.5 Select, use appropriate units of measurement","6MX0HRTQ","VHZA7KOL","5","CO Mathematics"
"4","St. 6 Operational Concepts & Computation","FDCEF07B","CEPXAUJ9","4","CO Mathematics"
"4","6.1 Demonstrate concepts of operations","PG4CCVEI","FDCEF07B","5","CO Mathematics"
"4","6.2 Add,subtract fractions, decimals","AJJVITSD","FDCEF07B","5","CO Mathematics"
"4","6.3 Demonstrate, use math facts","7GABI7G5","FDCEF07B","5","CO Mathematics"
"4","6.4 Estimate, compute using whole numbers","XTLMNY75","FDCEF07B","5","CO Mathematics"
"4","6.5 Use appropriate methods to solve problems","9YWPPF7H","FDCEF07B","5","CO Mathematics"
"5","Grade 5","H1Y1W0CF","CO","2","CO"
"5","Reading","4P4ZA1N7","H1Y1W0CF","3","CO Reading"
"5","St. 1 Read,understand variety materials","9RJR1KCQ","4P4ZA1N7","4","CO Reading"
"5","1.1 Compare,contrast theme,ideas","2CHYIHVS","9RJR1KCQ","5","CO Reading"
"5","1.2 Summarize fiction, non-fiction","XOV4A8VA","9RJR1KCQ","5","CO Reading"
"5","1.3 Find, paraphrase main idea,details","KEWOOGNV","9RJR1KCQ","5","CO Reading"
"5","1.4 Make inferences using context clues","W0BCW2LA","9RJR1KCQ","5","CO Reading"
"5","1.5 Identify sequence","7ADZNZZ7","9RJR1KCQ","5","CO Reading"
"5","1.6 Locate, recall information","HYVIYJQT","9RJR1KCQ","5","CO Reading"
"5","1.7 Identify meaning of words in context","MEDXCSZ7","9RJR1KCQ","5","CO Reading"
"5","St. 4 Apply thinking skills","4EH2NHFK","4P4ZA1N7","4","CO Reading"
"5","4.1 Determine author's purpose","07C1AXJY","4EH2NHFK","5","CO Reading"
"5","4.2 Define,solve problems","OKBA3Z1S","4EH2NHFK","5","CO Reading"
"5","4.3 Differentiate fact,opinion","090A7YH3","4EH2NHFK","5","CO Reading"
"5","4.4 Make predictions,draw conclusions","BR3DYVL9","4EH2NHFK","5","CO Reading"
"5","4.5 Recognize author's point of view","CBA6A43L","4EH2NHFK","5","CO Reading"
"5","St. 5 Read for relevant information in references","G0EGE8VZ","4P4ZA1N7","4","CO Reading"
"5","5.1 Use organizational features of text","N5BT885X","G0EGE8VZ","5","CO Reading"
"5","5.2 Use electronic org features","KEDC5YV4","G0EGE8VZ","5","CO Reading"
"5","5.3 Summarize,organize information","L85EZB3G","G0EGE8VZ","5","CO Reading"
"5","5.4 Select,justify support information","BS6GUUMR","G0EGE8VZ","5","CO Reading"
"5","5.5 Identify sources","AFMCH259","G0EGE8VZ","5","CO Reading"
"5","5.6 Select appropriate definitions","S5XB0AC9","G0EGE8VZ","5","CO Reading"
"5","St. 6 Read,recognize literature as human exper.","5WI3LSWQ","4P4ZA1N7","4","CO Reading"
"5","6.1 Read,respond to variety of literature","KV6G0CLN","5WI3LSWQ","5","CO Reading"
"5","6.2 Identify literary elements(conflict,theme,etc.","86ACIDMZ","5WI3LSWQ","5","CO Reading"
"5","6.3 Use literary techniques,terms(foreshadowing, e","NHGEARW5","5WI3LSWQ","5","CO Reading"
"5","6.4 Compare author, cultural background","GN0B6WN6","5WI3LSWQ","5","CO Reading"
"5","Writing","C5WFZGWJ","H1Y1W0CF","3","CO Writing"
"5","St. 2 Write for variety purposes,audiences","L7NFXOUB","C5WFZGWJ","4","CO Writing"
"5","2.1 Write in variety of modes for audiences, purp.","PQMXQCFB","L7NFXOUB","5","CO Writing"
"5","2.2 Organize using logical arrangement","FBAC5SQL","L7NFXOUB","5","CO Writing"
"5","2.3 Select, use precise vocabulary","GVA6M8VI","L7NFXOUB","5","CO Writing"
"5","2.4 Plan, draft, revise, edit for final copy","QCWY991E","L7NFXOUB","5","CO Writing"
"5","2.5 Use transitions to link ideas","ULF2FN3H","L7NFXOUB","5","CO Writing"
"5","2.6 Select, use variety of sentence structures","OE9GL95P","L7NFXOUB","5","CO Writing"
"5","2.7 Develop ideas, content with details","R4H994OS","L7NFXOUB","5","CO Writing"
"5","St. 3 Write using proper conventions","CQAGC6PA","C5WFZGWJ","4","CO Writing"
"5","3.1 Identify nouns,verbs,subjects,predicates","TLGI2H5C","CQAGC6PA","5","CO Writing"
"5","3.2 Use standard English usage-SV agreement,adj.","BBRHGB9V","CQAGC6PA","5","CO Writing"
"5","3.3 Write complete sentences","C59L9AQW","CQAGC6PA","5","CO Writing"
"5","3.4 Use conventions correctly - commas,quotes","EAMA7XY8","CQAGC6PA","5","CO Writing"
"5","3.5 Identify, use accurate spelling","S7C3ZVRI","CQAGC6PA","5","CO Writing"
"5","Mathematics","RCLRBRKI","H1Y1W0CF","3","CO Mathematics"
